gene_id	gene_type	gene_name
ENSG00000243069	processed_transcript	ARHGEF26-AS1
ENSG00000279305	TEC	AC134026.1
ENSG00000243861	lincRNA	AC092994.1
ENSG00000243969	lincRNA	AC073359.2
ENSG00000243953	lincRNA	AC073359.1
ENSG00000240666	antisense	MME-AS1
ENSG00000241336	lincRNA	LINC01487
ENSG00000242790	lincRNA	AC104831.1
ENSG00000239508	antisense	PLCH1-AS1
ENSG00000242925	antisense	PLCH1-AS2
ENSG00000240596	antisense	KCNAB1-AS2
ENSG00000242370	antisense	KCNAB1-AS1
ENSG00000272990	antisense	AC084036.1
ENSG00000243926	bidirectional_promoter_lncRNA	TIPARP-AS1
ENSG00000240875	lincRNA	LINC00886
ENSG00000243629	lincRNA	LINC00880
ENSG00000241544	lincRNA	LINC02029
ENSG00000241135	lincRNA	LINC00881
ENSG00000241770	antisense	AC104411.1
ENSG00000243176	processed_transcript	AC092944.1
ENSG00000239716	lincRNA	AC079943.1
ENSG00000242536	lincRNA	AC079943.2
ENSG00000243150	antisense	AC106707.1
ENSG00000272087	lincRNA	AC080013.4
ENSG00000272440	lincRNA	AC080013.6
ENSG00000240207	antisense	AC080013.1
ENSG00000272247	antisense	AC080013.5
ENSG00000279311	TEC	AC092999.1
ENSG00000241211	antisense	IQCJ-SCHIP1-AS1
ENSG00000244040	antisense	IL12A-AS1
ENSG00000242107	lincRNA	LINC01100
ENSG00000260572	antisense	AC069224.1
ENSG00000240567	lincRNA	LINC02067
ENSG00000269888	lincRNA	AC112491.1
ENSG00000240354	lincRNA	AC131211.1
ENSG00000241168	lincRNA	AC128685.1
ENSG00000241369	lincRNA	LINC01192
ENSG00000240792	lincRNA	AC079910.1
ENSG00000241636	lincRNA	LINC01323
ENSG00000241767	lincRNA	LINC01324
ENSG00000239205	lincRNA	LINC02023
ENSG00000244128	lincRNA	LINC01322
ENSG00000244321	lincRNA	LINC01326
ENSG00000240033	lincRNA	AC069439.2
ENSG00000241669	lincRNA	LINC01327
ENSG00000244706	lincRNA	AC026353.1
ENSG00000241882	lincRNA	AC124893.1
ENSG00000242268	lincRNA	LINC02082
ENSG00000272797	lincRNA	AC092954.1
ENSG00000273177	lincRNA	AC092954.2
ENSG00000241383	lincRNA	LINC01997
ENSG00000241479	antisense	AC074033.1
ENSG00000270141	lincRNA	TERC
ENSG00000269889	antisense	AC078802.1
ENSG00000269984	antisense	AC078795.1
ENSG00000270135	antisense	AC078795.3
ENSG00000270096	antisense	AC078795.2
ENSG00000239219	antisense	AC008040.1
ENSG00000240373	antisense	SEC62-AS1
ENSG00000268220	antisense	AC008040.5
ENSG00000239628	lincRNA	AC073288.1
ENSG00000242578	lincRNA	AC073288.2
ENSG00000285051	processed_transcript	AC026316.4
ENSG00000239739	lincRNA	AC026316.2
ENSG00000279673	TEC	AC092919.2
ENSG00000240497	lincRNA	AC092919.1
ENSG00000234717	lincRNA	TMEM212-AS1
ENSG00000279862	TEC	AC092964.1
ENSG00000223387	lincRNA	LINC02068
ENSG00000237473	lincRNA	AC068759.1
ENSG00000228213	antisense	NLGN1-AS1
ENSG00000230292	processed_transcript	NAALADL2-AS3
ENSG00000226779	antisense	NAALADL2-AS2
ENSG00000225552	antisense	NAALADL2-AS1
ENSG00000260217	lincRNA	AC104640.1
ENSG00000223715	lincRNA	LINC01208
ENSG00000232461	lincRNA	AC092920.1
ENSG00000228308	lincRNA	LINC01209
ENSG00000231310	antisense	TBL1XR1-AS1
ENSG00000203645	lincRNA	LINC00501
ENSG00000226782	lincRNA	AC117465.1
ENSG00000228221	lincRNA	LINC00578
ENSG00000236385	lincRNA	AC026355.2
ENSG00000228561	lincRNA	AC026355.1
ENSG00000231574	lincRNA	LINC02015
ENSG00000225790	lincRNA	AC007953.1
ENSG00000270321	lincRNA	AC007953.2
ENSG00000223930	lincRNA	AC109779.1
ENSG00000237978	antisense	KCNMB2-AS1
ENSG00000229102	lincRNA	AC076966.1
ENSG00000260743	lincRNA	AC007823.1
ENSG00000242539	antisense	AC007620.2
ENSG00000272699	antisense	AC007620.3
ENSG00000272910	antisense	AC090425.2
ENSG00000272660	antisense	AC090425.1
ENSG00000270178	lincRNA	AC007687.1
ENSG00000243799	antisense	PEX5L-AS1
ENSG00000244302	antisense	PEX5L-AS2
ENSG00000241696	lincRNA	LINC02053
ENSG00000239774	lincRNA	AC125618.1
ENSG00000243187	antisense	CCDC39-AS1
ENSG00000285336	lincRNA	AC108734.4
ENSG00000242808	sense_overlapping	SOX2-OT
ENSG00000241231	lincRNA	AC022294.1
ENSG00000239381	lincRNA	AC125613.1
ENSG00000242512	lincRNA	LINC01206
ENSG00000240478	lincRNA	AC012081.1
ENSG00000242012	lincRNA	AC084211.1
ENSG00000241098	lincRNA	LINC01994
ENSG00000244247	lincRNA	LINC01995
ENSG00000238837	lincRNA	LINC02031
ENSG00000260377	lincRNA	AC083801.2
ENSG00000240063	antisense	AC069431.1
ENSG00000273261	antisense	AC092953.2
ENSG00000243368	antisense	MCCC1-AS1
ENSG00000242522	antisense	KLHL6-AS1
ENSG00000233885	antisense	YEATS2-AS1
ENSG00000223882	antisense	ABCC5-AS1
ENSG00000238020	antisense	HTR3E-AS1
ENSG00000273181	lincRNA	AC131235.4
ENSG00000272721	antisense	AC131235.3
ENSG00000224153	lincRNA	LINC02054
ENSG00000227509	lincRNA	LINC01839
ENSG00000230215	antisense	LINC01840
ENSG00000272970	lincRNA	AC107294.2
ENSG00000273403	lincRNA	AC107294.3
ENSG00000272922	lincRNA	AC107294.1
ENSG00000229433	lincRNA	LINC02069
ENSG00000223358	antisense	EHHADH-AS1
ENSG00000163915	antisense	IGF2BP2-AS1
ENSG00000234197	antisense	ETV5-AS1
ENSG00000234548	lincRNA	LINC02020
ENSG00000224406	lincRNA	LINC02052
ENSG00000226859	lincRNA	LINC02051
ENSG00000197099	antisense	AC068631.1
ENSG00000263826	antisense	AC112907.3
ENSG00000231724	antisense	AC112907.1
ENSG00000232233	lincRNA	LINC02043
ENSG00000226482	antisense	ADIPOQ-AS1
ENSG00000198491	antisense	AC007920.1
ENSG00000283175	antisense	AC007920.2
ENSG00000280270	TEC	AC068299.1
ENSG00000228952	lincRNA	LINC02041
ENSG00000228804	antisense	AC072022.1
ENSG00000285938	antisense	AC072022.2
ENSG00000224049	lincRNA	AC108681.1
ENSG00000236864	lincRNA	AC068295.1
ENSG00000224187	lincRNA	LINC01991
ENSG00000225058	lincRNA	AC092941.1
ENSG00000236412	lincRNA	AC092941.2
ENSG00000234238	lincRNA	AC022498.1
ENSG00000270959	antisense	LPP-AS2
ENSG00000279891	TEC	FLJ42393
ENSG00000224563	antisense	LPP-AS1
ENSG00000234076	lincRNA	TPRG1-AS1
ENSG00000230115	antisense	TPRG1-AS2
ENSG00000225764	antisense	P3H2-AS1
ENSG00000273370	lincRNA	AC108747.1
ENSG00000228730	lincRNA	LINC02013
ENSG00000233308	antisense	OSTN-AS1
ENSG00000223812	lincRNA	AC073365.1
ENSG00000232353	lincRNA	AC026320.1
ENSG00000231383	antisense	FGF12-AS1
ENSG00000230126	antisense	FGF12-AS2
ENSG00000226709	antisense	FGF12-AS3
ENSG00000232130	lincRNA	AC092966.1
ENSG00000236508	antisense	ATP13A5-AS1
ENSG00000225473	antisense	ATP13A4-AS1
ENSG00000224855	antisense	OPA1-AS1
ENSG00000229155	lincRNA	LINC02038
ENSG00000214146	lincRNA	LINC02026
ENSG00000238043	lincRNA	AC024559.1
ENSG00000230102	processed_transcript	LINC02028
ENSG00000276407	lincRNA	AC024559.2
ENSG00000229964	lincRNA	AC080129.1
ENSG00000232874	antisense	AC080129.2
ENSG00000225742	lincRNA	LINC02036
ENSG00000238097	lincRNA	LINC02037
ENSG00000228271	lincRNA	LINC02048
ENSG00000214145	lincRNA	LINC00887
ENSG00000233058	antisense	LINC00884
ENSG00000244675	sense_overlapping	AC108676.1
ENSG00000231770	antisense	TMEM44-AS1
ENSG00000229334	antisense	AC046143.1
ENSG00000272707	lincRNA	AC046143.2
ENSG00000233987	lincRNA	AC106706.1
ENSG00000237222	lincRNA	LINC01968
ENSG00000230401	lincRNA	LINC01972
ENSG00000238031	lincRNA	AC090505.2
ENSG00000233303	antisense	XXYLT1-AS1
ENSG00000230266	antisense	XXYLT1-AS2
ENSG00000223711	antisense	AC069213.1
ENSG00000229178	lincRNA	AC233280.1
ENSG00000242086	lincRNA	MUC20-OT1
ENSG00000223783	lincRNA	LINC01983
ENSG00000224614	antisense	TNK2-AS1
ENSG00000226155	antisense	AC124944.1
ENSG00000224652	lincRNA	LINC00885
ENSG00000228028	antisense	AC069257.1
ENSG00000235897	antisense	TM4SF19-AS1
ENSG00000225822	antisense	UBXN7-AS1
ENSG00000273013	antisense	AC117490.2
ENSG00000232065	antisense	LINC01063
ENSG00000225578	antisense	NCBP2-AS1
ENSG00000228109	antisense	MELTF-AS1
ENSG00000227375	antisense	DLG1-AS1
ENSG00000235126	lincRNA	AC128709.2
ENSG00000229912	lincRNA	AC128709.1
ENSG00000237167	lincRNA	AC128709.3
ENSG00000272989	lincRNA	LINC02012
ENSG00000273308	lincRNA	AC024560.3
ENSG00000236833	lincRNA	AC024560.1
ENSG00000273375	lincRNA	AC055764.2
ENSG00000234136	antisense	AC055764.1
ENSG00000232832	antisense	LMLN-AS1
ENSG00000281016	antisense	AC092574.2
ENSG00000272885	lincRNA	AC092574.1
ENSG00000283183	lincRNA	AC116565.1
ENSG00000242686	antisense	AC107464.1
ENSG00000272927	antisense	AC107464.3
ENSG00000248416	antisense	AC107464.2
ENSG00000272588	antisense	AC139887.4
ENSG00000249592	antisense	AC139887.2
ENSG00000233799	antisense	AC139887.1
ENSG00000260262	lincRNA	AC139887.3
ENSG00000250259	lincRNA	AC019103.1
ENSG00000251652	antisense	AC092535.3
ENSG00000227189	antisense	AC092535.1
ENSG00000273179	antisense	AC092535.4
ENSG00000280927	antisense	CTBP1-AS
ENSG00000196810	antisense	CTBP1-DT
ENSG00000272783	lincRNA	AC147067.2
ENSG00000244459	lincRNA	AC147067.1
ENSG00000270195	lincRNA	AC016773.1
ENSG00000250623	antisense	AL136360.2
ENSG00000251148	antisense	AL158068.2
ENSG00000249673	antisense	NOP14-AS1
ENSG00000251075	antisense	HTT-AS
ENSG00000270090	lincRNA	AL590235.1
ENSG00000216560	processed_transcript	LINC00955
ENSG00000250681	lincRNA	AL121796.1
ENSG00000250632	lincRNA	LINC02171
ENSG00000250986	lincRNA	LINC02600
ENSG00000253917	processed_transcript	AC226119.1
ENSG00000248516	lincRNA	AC105415.1
ENSG00000247708	antisense	STX18-AS1
ENSG00000280310	TEC	AC092437.1
ENSG00000273396	lincRNA	LINC01396
ENSG00000082929	processed_transcript	LINC01587
ENSG00000251408	lincRNA	AC113615.1
ENSG00000251580	lincRNA	LINC02482
ENSG00000246526	lincRNA	LINC002481
ENSG00000279859	TEC	AC093323.2
ENSG00000282742	TEC	AC093323.3
ENSG00000187904	sense_overlapping	AC097382.1
ENSG00000245748	antisense	AC097382.2
ENSG00000245468	lincRNA	LINC02447
ENSG00000272620	antisense	AFAP1-AS1
ENSG00000228919	lincRNA	AC097381.1
ENSG00000273267	antisense	AC097381.3
ENSG00000251460	antisense	AC097381.2
ENSG00000249145	lincRNA	LINC02517
ENSG00000251615	lincRNA	AC104825.1
ENSG00000251186	antisense	AC105345.2
ENSG00000205959	lincRNA	AC105345.1
ENSG00000250915	lincRNA	AC209005.1
ENSG00000249219	antisense	AC108199.1
ENSG00000250413	antisense	AC005674.1
ENSG00000261490	sense_overlapping	AC005674.2
ENSG00000249334	lincRNA	AC084048.1
ENSG00000283083	lincRNA	LINC02498
ENSG00000251152	lincRNA	AC025539.1
ENSG00000249631	lincRNA	AC005699.1
ENSG00000248300	lincRNA	LINC02360
ENSG00000248262	lincRNA	AC108037.1
ENSG00000251210	lincRNA	LINC02270
ENSG00000250371	lincRNA	AC007370.2
ENSG00000250098	lincRNA	AC007370.1
ENSG00000281202	lincRNA	LINC01097
ENSG00000246095	lincRNA	LINC01096
ENSG00000250634	lincRNA	LINC01182
ENSG00000250497	lincRNA	AC007126.1
ENSG00000251679	lincRNA	AC073848.1
ENSG00000249988	lincRNA	AC092546.1
ENSG00000251412	lincRNA	AC006296.2
ENSG00000248425	lincRNA	AC006296.1
ENSG00000248360	lincRNA	LINC00504
ENSG00000247624	lincRNA	CPEB2-DT
ENSG00000249252	antisense	AC098829.1
ENSG00000251379	antisense	AC099550.1
ENSG00000273133	antisense	AC116651.1
ENSG00000249234	antisense	AC108063.1
ENSG00000263327	antisense	TAPT1-AS1
ENSG00000248138	antisense	AC097515.1
ENSG00000249998	lincRNA	AC106894.1
ENSG00000250819	lincRNA	LINC02493
ENSG00000249502	antisense	AC006160.1
ENSG00000251048	lincRNA	AC093871.1
ENSG00000279918	TEC	AC006840.1
ENSG00000248238	lincRNA	LINC02438
ENSG00000279379	TEC	AC024595.1
ENSG00000248515	lincRNA	AC024230.1
ENSG00000249441	lincRNA	AC110767.1
ENSG00000272995	antisense	AC097505.1
ENSG00000250243	antisense	AC110296.1
ENSG00000250092	antisense	AC096576.3
ENSG00000248343	antisense	AC096576.2
ENSG00000280650	lincRNA	KCNIP4-IT1
ENSG00000250039	antisense	AC096719.1
ENSG00000248837	lincRNA	AC097512.1
ENSG00000249645	lincRNA	AC114912.1
ENSG00000249547	lincRNA	AC092440.1
ENSG00000250137	antisense	AC093607.1
ENSG00000251292	lincRNA	ERVH-1
ENSG00000249453	antisense	AC092834.1
ENSG00000261121	lincRNA	LINC02473
ENSG00000281501	antisense	SEPSECS-AS1
ENSG00000271172	lincRNA	AC104662.1
ENSG00000248545	lincRNA	AC092436.2
ENSG00000250541	antisense	AC092436.4
ENSG00000251009	lincRNA	AC133961.1
ENSG00000283314	lincRNA	LINC02357
ENSG00000240005	antisense	AC106047.1
ENSG00000251080	lincRNA	AC024132.2
ENSG00000205830	lincRNA	AC024132.1
ENSG00000249699	lincRNA	LINC02261
ENSG00000251325	lincRNA	AC024132.3
ENSG00000251410	lincRNA	AC007106.1
ENSG00000250038	lincRNA	AC109588.1
ENSG00000250064	lincRNA	AC097480.1
ENSG00000250190	lincRNA	LINC02364
ENSG00000249228	lincRNA	AC068944.1
ENSG00000248176	lincRNA	AC109349.1
ENSG00000248338	lincRNA	LINC02472
ENSG00000249678	antisense	AC097716.1
ENSG00000251182	lincRNA	LINC02497
ENSG00000251434	lincRNA	AC104071.1
ENSG00000249882	lincRNA	LINC02501
ENSG00000251129	lincRNA	LINC02506
ENSG00000251329	lincRNA	LINC02353
ENSG00000248417	lincRNA	AC097535.1
ENSG00000250954	lincRNA	AC016687.3
ENSG00000250723	lincRNA	AC016687.2
ENSG00000248685	lincRNA	LINC02484
ENSG00000250597	lincRNA	AC093689.1
ENSG00000247193	antisense	AC104078.1
ENSG00000251438	antisense	AC104078.2
ENSG00000248215	lincRNA	LINC02505
ENSG00000261761	processed_transcript	AL136537.2
ENSG00000247810	lincRNA	AL136537.1
ENSG00000248936	antisense	AC027607.1
ENSG00000279386	TEC	AC021106.3
ENSG00000251642	lincRNA	AC098680.1
ENSG00000248227	lincRNA	LINC02513
ENSG00000280015	TEC	AC024023.1
ENSG00000249534	lincRNA	LINC01258
ENSG00000249667	lincRNA	LINC01259
ENSG00000251635	lincRNA	LINC02278
ENSG00000231160	processed_transcript	KLF3-AS1
ENSG00000271958	lincRNA	AC021860.1
ENSG00000249207	antisense	AC079921.1
ENSG00000249685	lincRNA	AC079921.2
ENSG00000249348	antisense	UGDH-AS1
ENSG00000255458	lincRNA	AC108471.2
ENSG00000260296	sense_overlapping	AC095057.3
ENSG00000250338	lincRNA	AC095057.2
ENSG00000249241	lincRNA	LINC02265
ENSG00000250893	antisense	AC098869.2
ENSG00000250906	antisense	AC131953.1
ENSG00000251173	antisense	UCHL1-AS1
ENSG00000249216	antisense	AC105389.2
ENSG00000250467	antisense	AC105389.3
ENSG00000249122	lincRNA	AC105389.1
ENSG00000245870	lincRNA	LINC00682
ENSG00000249771	lincRNA	AC108210.1
ENSG00000272862	lincRNA	AC106052.1
ENSG00000285454	lincRNA	AC111006.1
ENSG00000250781	antisense	AC024022.1
ENSG00000260519	antisense	AC096734.2
ENSG00000251517	lincRNA	AC096734.1
ENSG00000248939	lincRNA	AC111198.1
ENSG00000250657	processed_transcript	AC097451.1
ENSG00000248143	lincRNA	LINC02383
ENSG00000250863	lincRNA	AC110799.1
ENSG00000251350	lincRNA	LINC02475
ENSG00000273369	antisense	AC096586.2
ENSG00000272936	antisense	AC096586.1
ENSG00000248744	lincRNA	AC108467.1
ENSG00000260878	sense_overlapping	AC104072.1
ENSG00000249330	antisense	AC095060.1
ENSG00000260918	sense_overlapping	AC107398.3
ENSG00000282904	bidirectional_promoter_lncRNA	AC107398.4
ENSG00000248254	antisense	AC107398.2
ENSG00000282917	antisense	AC107068.2
ENSG00000259959	lincRNA	AC107068.1
ENSG00000248256	antisense	OCIAD1-AS1
ENSG00000280043	TEC	AC118282.4
ENSG00000272576	lincRNA	AC027271.1
ENSG00000251040	lincRNA	LINC02480
ENSG00000248866	lincRNA	USP46-AS1
ENSG00000260120	lincRNA	AC104066.2
ENSG00000226950	processed_transcript	DANCR
ENSG00000250302	lincRNA	LINC01618
ENSG00000248115	antisense	AC023154.1
ENSG00000250930	antisense	LNX1-AS1
ENSG00000272650	lincRNA	AC110792.3
ENSG00000269506	antisense	AC110792.2
ENSG00000248184	lincRNA	LINC02283
ENSG00000248518	lincRNA	AC098587.1
ENSG00000251264	lincRNA	AC098868.1
ENSG00000250456	lincRNA	LINC02260
ENSG00000249727	lincRNA	AC097494.1
ENSG00000251256	lincRNA	LINC02358
ENSG00000248317	lincRNA	AC111194.1
ENSG00000250646	antisense	AC111194.2
ENSG00000249700	processed_transcript	SRD5A3-AS1
ENSG00000273257	lincRNA	AC069200.1
ENSG00000272969	antisense	AC024243.1
ENSG00000269921	lincRNA	AC068620.1
ENSG00000270147	lincRNA	AC068620.2
ENSG00000280285	TEC	AC108215.1
ENSG00000269949	lincRNA	AC069307.1
ENSG00000245067	antisense	IGFBP7-AS1
ENSG00000250192	lincRNA	AC105390.1
ENSG00000248505	lincRNA	LINC02380
ENSG00000251459	lincRNA	AC013724.1
ENSG00000251049	lincRNA	AC107396.1
ENSG00000250333	lincRNA	AC093725.2
ENSG00000249831	lincRNA	AC093725.1
ENSG00000250340	lincRNA	LINC02494
ENSG00000250078	lincRNA	AC019133.1
ENSG00000251339	lincRNA	AC017091.1
ENSG00000251266	lincRNA	LINC02429
ENSG00000249382	processed_transcript	AC097501.1
ENSG00000250375	lincRNA	AC097501.2
ENSG00000249111	lincRNA	AC108517.1
ENSG00000249392	lincRNA	AC096588.1
ENSG00000249892	lincRNA	AC093857.1
ENSG00000249066	lincRNA	LINC02496
ENSG00000240152	lincRNA	LINC02271
ENSG00000205682	lincRNA	AC020741.1
ENSG00000248692	antisense	ADGRL3-AS1
ENSG00000251055	lincRNA	AC097491.1
ENSG00000250775	lincRNA	AC093730.1
ENSG00000250125	lincRNA	LINC02232
ENSG00000285711	lincRNA	AC018683.1
ENSG00000250846	lincRNA	EPHA5-AS1
ENSG00000248479	lincRNA	AC104137.1
ENSG00000251527	lincRNA	AC097110.1
ENSG00000249413	lincRNA	AC116049.2
ENSG00000272304	lincRNA	AC096721.1
ENSG00000250075	lincRNA	AC104806.2
ENSG00000279464	TEC	AC096720.2
ENSG00000248049	antisense	UBA6-AS1
ENSG00000272626	lincRNA	AC021146.12
ENSG00000250696	antisense	AC111000.4
ENSG00000272986	antisense	AC009570.1
ENSG00000248567	lincRNA	AC068721.1
ENSG00000250877	antisense	AC095056.1
ENSG00000250220	antisense	AC053527.1
ENSG00000250436	lincRNA	LINC02499
ENSG00000228277	lincRNA	AC112518.1
ENSG00000269559	antisense	AC093677.2
ENSG00000250532	antisense	AC021180.1
ENSG00000249942	antisense	AC239584.1
ENSG00000249717	antisense	AC110760.2
ENSG00000248165	antisense	AC110760.1
ENSG00000260265	lincRNA	LINC02562
ENSG00000251185	lincRNA	AC025244.1
ENSG00000251454	lincRNA	AC025244.2
ENSG00000251383	lincRNA	LINC02483
ENSG00000248646	lincRNA	AC096759.1
ENSG00000250735	lincRNA	AC096759.2
ENSG00000229717	antisense	AC110615.1
ENSG00000245928	antisense	AC112719.2
ENSG00000233860	antisense	AC107072.2
ENSG00000224218	antisense	AC107072.1
ENSG00000249036	lincRNA	AC092674.1
ENSG00000251442	lincRNA	LINC01094
ENSG00000260278	antisense	AC098818.2
ENSG00000249307	antisense	LINC01088
ENSG00000250334	lincRNA	LINC00989
ENSG00000251399	lincRNA	AC092542.1
ENSG00000248408	lincRNA	LINC02469
ENSG00000251321	lincRNA	PCAT4
ENSG00000248719	antisense	AC021127.1
ENSG00000251059	antisense	AC139722.1
ENSG00000273156	lincRNA	AC124016.2
ENSG00000272677	antisense	AC124016.1
ENSG00000231782	lincRNA	LINC00575
ENSG00000251022	antisense	THAP9-AS1
ENSG00000250057	lincRNA	AC114781.2
ENSG00000249171	lincRNA	AC021192.1
ENSG00000250546	processed_transcript	AC079160.1
ENSG00000248749	lincRNA	AC104063.1
ENSG00000251260	antisense	WDFY3-AS1
ENSG00000180769	processed_transcript	WDFY3-AS2
ENSG00000250062	antisense	AC104827.1
ENSG00000284968	antisense	AC093827.4
ENSG00000250572	lincRNA	AC108516.1
ENSG00000255723	processed_transcript	AC108516.2
ENSG00000272856	lincRNA	AC112250.2
ENSG00000249001	antisense	AC093895.1
ENSG00000246375	lincRNA	AC107067.1
ENSG00000285122	lincRNA	AC083829.2
ENSG00000248019	antisense	FAM13A-AS1
ENSG00000270720	lincRNA	AC104785.1
ENSG00000251095	antisense	AC097478.1
ENSG00000274238	antisense	AC097478.2
ENSG00000277695	antisense	AC097478.4
ENSG00000276542	antisense	AC097478.3
ENSG00000247775	antisense	SNCA-AS1
ENSG00000248984	antisense	AC004054.1
ENSG00000249049	antisense	AC074124.1
ENSG00000279013	TEC	AC110774.1
ENSG00000249052	lincRNA	AC093810.1
ENSG00000280056	TEC	AC097520.1
ENSG00000249152	lincRNA	LNCPRESS2
ENSG00000248511	lincRNA	AC112695.1
ENSG00000248627	antisense	AC095059.1
ENSG00000250908	antisense	AC110800.1
ENSG00000246541	lincRNA	AC096746.1
ENSG00000249951	lincRNA	AC108067.1
ENSG00000249599	lincRNA	BMPR1B-DT
ENSG00000271474	antisense	AC106881.1
ENSG00000248510	lincRNA	LINC02267
ENSG00000253170	lincRNA	AC108515.1
ENSG00000254044	sense_overlapping	AC034154.1
ENSG00000251620	antisense	STPG2-AS1
ENSG00000214559	antisense	AC019077.1
ENSG00000251523	antisense	AC108159.1
ENSG00000260641	antisense	AC114811.2
ENSG00000263923	antisense	AC019131.1
ENSG00000272777	lincRNA	AC019131.2
ENSG00000246090	antisense	AP002026.1
ENSG00000248676	antisense	AC083902.1
ENSG00000279913	TEC	AP001962.1
ENSG00000279098	TEC	AC097460.3
ENSG00000245322	antisense	AC097460.1
ENSG00000249710	antisense	AP001961.1
ENSG00000254531	lincRNA	FLJ20021
ENSG00000251309	antisense	AP002075.1
ENSG00000248161	lincRNA	AC098487.1
ENSG00000260651	antisense	AF213884.3
ENSG00000246560	antisense	AC018797.2
ENSG00000248740	lincRNA	LINC02428
ENSG00000251577	antisense	AC105460.2
ENSG00000250920	lincRNA	AC105460.1
ENSG00000249614	lincRNA	LINC02503
ENSG00000251170	lincRNA	AC004052.1
ENSG00000245384	antisense	CXXC4-AS1
ENSG00000250670	lincRNA	AC004063.1
ENSG00000248242	lincRNA	AC004053.1
ENSG00000248373	lincRNA	AC096577.1
ENSG00000251259	lincRNA	AC004069.1
ENSG00000251586	antisense	TET2-AS1
ENSG00000250522	antisense	AC004066.2
ENSG00000251175	antisense	AC008243.1
ENSG00000250740	antisense	AC109361.2
ENSG00000249635	antisense	AC109361.1
ENSG00000249613	lincRNA	LINC02173
ENSG00000251081	lincRNA	AC104663.1
ENSG00000245293	antisense	AC096564.1
ENSG00000249604	antisense	AC096564.2
ENSG00000232021	processed_transcript	LEF1-AS1
ENSG00000234492	lincRNA	RPL34-AS1
ENSG00000246774	lincRNA	ZCCHC23
ENSG00000247950	antisense	SEC24B-AS1
ENSG00000273447	antisense	AC004067.1
ENSG00000272795	lincRNA	AC126283.1
ENSG00000250511	antisense	AC098798.1
ENSG00000250103	lincRNA	PANCR
ENSG00000249519	lincRNA	LINC01438
ENSG00000248656	lincRNA	AC083795.2
ENSG00000250855	lincRNA	AC139718.2
ENSG00000248432	lincRNA	AC139718.1
ENSG00000249815	lincRNA	AC004704.1
ENSG00000260526	antisense	AC109347.1
ENSG00000272567	lincRNA	AC109347.2
ENSG00000249509	antisense	AC023886.1
ENSG00000249532	antisense	AC106864.1
ENSG00000250046	lincRNA	AC106864.2
ENSG00000251126	antisense	AC017007.5
ENSG00000248152	antisense	AC093879.1
ENSG00000249373	antisense	AC093879.2
ENSG00000249304	antisense	AC104779.1
ENSG00000250791	lincRNA	AC106892.1
ENSG00000224932	lincRNA	LINC02262
ENSG00000228358	lincRNA	LINC02263
ENSG00000236922	lincRNA	LINC01378
ENSG00000229565	lincRNA	LINC02264
ENSG00000269893	lincRNA	SNHG8
ENSG00000281731	lincRNA	AC110079.2
ENSG00000280551	TEC	AC096745.2
ENSG00000260091	lincRNA	AC093752.3
ENSG00000250950	lincRNA	AC093752.2
ENSG00000250772	lincRNA	LINC01365
ENSG00000250392	lincRNA	LINC02502
ENSG00000253825	lincRNA	AC097173.2
ENSG00000250938	antisense	AC108866.1
ENSG00000249409	lincRNA	AC025741.1
ENSG00000250344	lincRNA	AC105254.1
ENSG00000226757	antisense	PP12613
ENSG00000261501	lincRNA	AC079341.1
ENSG00000227145	antisense	IL21-AS1
ENSG00000273007	antisense	AC021205.3
ENSG00000249125	lincRNA	AC093821.1
ENSG00000251526	lincRNA	LINC02435
ENSG00000249464	lincRNA	LINC01091
ENSG00000226655	lincRNA	AC096732.1
ENSG00000249837	lincRNA	AC121154.1
ENSG00000261083	lincRNA	LINC02516
ENSG00000250149	lincRNA	AC105919.1
ENSG00000251649	lincRNA	LINC02379
ENSG00000250945	lincRNA	AC096773.1
ENSG00000248491	lincRNA	AC093772.1
ENSG00000261668	antisense	AC093591.2
ENSG00000251432	lincRNA	AC108062.1
ENSG00000273077	lincRNA	AC110609.1
ENSG00000248187	lincRNA	AC078850.1
ENSG00000248802	lincRNA	AC078850.2
ENSG00000280711	lincRNA	JADRR
ENSG00000250193	lincRNA	AC082650.1
ENSG00000246876	lincRNA	LINC02466
ENSG00000249618	lincRNA	LINC02465
ENSG00000251326	lincRNA	LINC02479
ENSG00000280059	TEC	AC093831.2
ENSG00000250503	lincRNA	AC093831.1
ENSG00000250102	lincRNA	LINC02377
ENSG00000251676	lincRNA	SNHG27
ENSG00000251555	lincRNA	AC096711.2
ENSG00000251598	lincRNA	AC096711.3
ENSG00000249463	lincRNA	AC096711.1
ENSG00000248369	lincRNA	AC114741.1
ENSG00000251398	lincRNA	LINC01256
ENSG00000251488	lincRNA	AC115622.1
ENSG00000249513	lincRNA	AC110751.1
ENSG00000250241	lincRNA	AC105383.1
ENSG00000251388	lincRNA	AC079380.1
ENSG00000251199	lincRNA	AC109830.1
ENSG00000251291	lincRNA	LINC02462
ENSG00000249000	lincRNA	AC093722.1
ENSG00000249847	lincRNA	AC104619.2
ENSG00000248434	lincRNA	AC107463.1
ENSG00000248456	lincRNA	LINC02485
ENSG00000250865	lincRNA	AC105362.1
ENSG00000248330	lincRNA	LINC00613
ENSG00000261166	lincRNA	AC073429.2
ENSG00000251567	lincRNA	AC018680.1
ENSG00000250665	lincRNA	AC073429.1
