gene_id	gene_type	gene_name
2830	ENSG00000223779	unprocessed_pseudogene	AC239800.1
2831	ENSG00000242352	transcribed_processed_pseudogene	FAM91A3P
2832	ENSG00000270962	processed_pseudogene	AC239800.3
2833	ENSG00000263590	lincRNA	LINC02591
2834	ENSG00000252105	snRNA	RNU1-143P
2835	ENSG00000233430	unprocessed_pseudogene	AC239798.1
2836	ENSG00000237503	processed_pseudogene	AC239798.3
2837	ENSG00000265531	unprocessed_pseudogene	FCGR1CP
2838	ENSG00000240929	transcribed_unprocessed_pseudogene	HIST2H2BB
2839	ENSG00000234571	lincRNA	AC239798.2
2840	ENSG00000273213	processed_transcript	AC239798.4
2841	ENSG00000230186	antisense	AC246680.1
2842	ENSG00000203818	protein_coding	HIST2H3PS2
2843	ENSG00000268074	processed_pseudogene	RPL22P5
2844	ENSG00000263513	protein_coding	FAM72C
2845	ENSG00000270872	unprocessed_pseudogene	SRGAP2D
2846	ENSG00000276674	IG_V_pseudogene	IGKV1OR1-1
2847	ENSG00000275075	processed_pseudogene	AC244015.1
2848	ENSG00000275767	unprocessed_pseudogene	AC244015.2
2849	ENSG00000232527	lincRNA	AC245595.1
2850	ENSG00000276442	rRNA	RNA5SP529
2851	ENSG00000175658	processed_pseudogene	DRD5P2
2852	ENSG00000276756	transcribed_unprocessed_pseudogene	AC245595.2
2853	ENSG00000271567	protein_coding	PPIAL4E
2854	ENSG00000271439	processed_pseudogene	AC246785.4
2855	ENSG00000207205	snRNA	RNVU1-15
2856	ENSG00000237343	lincRNA	AC246785.3
2857	ENSG00000233586	processed_pseudogene	AC246785.2
2858	ENSG00000266338	protein_coding	NBPF15
2859	ENSG00000227212	processed_pseudogene	PFN1P6
2860	ENSG00000229002	unprocessed_pseudogene	AC246785.1
2861	ENSG00000275291	snRNA	RF00003
2862	ENSG00000278099	snRNA	RF00003
2863	ENSG00000277918	snRNA	RF00003
2864	ENSG00000279782	protein_coding	PPIAL4F
2865	ENSG00000277199	lincRNA	LINC01632
2866	ENSG00000224363	lincRNA	FP700111.1
2867	ENSG00000278273	unprocessed_pseudogene	FP700107.1
2868	ENSG00000222854	rRNA_pseudogene	RNA5SP59
2869	ENSG00000273825	unprocessed_pseudogene	FP700111.2
2870	ENSG00000196369	protein_coding	SRGAP2B
2871	ENSG00000271644	processed_pseudogene	AC242498.1
2872	ENSG00000215784	protein_coding	FAM72D
2873	ENSG00000283752	unprocessed_pseudogene	AC241585.3
2874	ENSG00000272419	transcribed_unprocessed_pseudogene	LINC01145
2875	ENSG00000277678	snRNA	RF00003
2876	ENSG00000281571	TEC	AC241585.2
2877	ENSG00000223612	processed_pseudogene	AC241585.1
2878	ENSG00000256374	protein_coding	PPIAL4D
2879	ENSG00000271291	processed_pseudogene	AC245014.2
2880	ENSG00000207501	snRNA	RNVU1-14
2881	ENSG00000276216	lincRNA	AC245014.3
2882	ENSG00000236140	lincRNA	AC245014.1
2883	ENSG00000162825	protein_coding	NBPF20
2884	ENSG00000234367	processed_pseudogene	PFN1P3
2885	ENSG00000270384	snRNA	RF00003
2886	ENSG00000270722	snRNA	RF00003
2887	ENSG00000278182	unprocessed_pseudogene	AC239860.2
2888	ENSG00000275064	unprocessed_pseudogene	AC239860.1
2889	ENSG00000272150	transcribed_unprocessed_pseudogene	NBPF25P
2890	ENSG00000117262	protein_coding	GPR89A
2891	ENSG00000174827	protein_coding	PDZK1
2892	ENSG00000117281	protein_coding	CD160
2893	ENSG00000265491	protein_coding	RNF115
2894	ENSG00000186141	protein_coding	POLR3C
2895	ENSG00000186364	protein_coding	NUDT17
2896	ENSG00000131788	protein_coding	PIAS3
2897	ENSG00000278549	miRNA	MIR6736
2898	ENSG00000198483	protein_coding	ANKRD35
2899	ENSG00000143127	protein_coding	ITGA10
2900	ENSG00000244619	antisense	AC243547.1
2901	ENSG00000131779	protein_coding	PEX11B
2902	ENSG00000265241	protein_coding	RBM8A
2903	ENSG00000211451	transcribed_unitary_pseudogene	GNRHR2
2904	ENSG00000234222	antisense	LIX1L-AS1
2905	ENSG00000280778	protein_coding	AC243547.3
2906	ENSG00000271601	protein_coding	LIX1L
2907	ENSG00000272031	protein_coding	ANKRD34A
2908	ENSG00000278431	antisense	AC243547.2
2909	ENSG00000121851	protein_coding	POLR3GL
2910	ENSG00000265972	protein_coding	TXNIP
2911	ENSG00000168509	protein_coding	HJV
2912	ENSG00000201558	snRNA	RNVU1-6
2913	ENSG00000233396	lincRNA	LINC01719
2914	ENSG00000271425	protein_coding	NBPF10
2915	ENSG00000213240	protein_coding	AC239799.1
2916	ENSG00000264343	protein_coding	NOTCH2NLA
2917	ENSG00000276509	lincRNA	AC239799.2
2918	ENSG00000201789	snRNA	RNU6-1071P
2919	ENSG00000271121	processed_pseudogene	NUDT4P2
2920	ENSG00000277406	transcribed_unprocessed_pseudogene	SEC22B4P
2921	ENSG00000270339	protein_coding	AC243756.1
2922	ENSG00000273768	snRNA	RF00003
2923	ENSG00000274428	snRNA	RF00003
2924	ENSG00000277655	unprocessed_pseudogene	AC245407.1
2925	ENSG00000276975	transcribed_unprocessed_pseudogene	HYDIN2
2926	ENSG00000274408	rRNA	RNA5SP536
2927	ENSG00000274450	snRNA	RF00619
2928	ENSG00000268043	protein_coding	NBPF12
2929	ENSG00000244371	processed_pseudogene	PFN1P8
2930	ENSG00000234225	lincRNA	AC244394.2
2931	ENSG00000227242	unprocessed_pseudogene	NBPF13P
2932	ENSG00000225603	processed_pseudogene	AC244394.1
2933	ENSG00000201142	snRNA	RNU1-151P
2934	ENSG00000230832	processed_pseudogene	AC241584.1
2935	ENSG00000283342	unprocessed_pseudogene	AC241584.2
2936	ENSG00000131791	protein_coding	PRKAB2
2937	ENSG00000180867	transcribed_processed_pseudogene	PDIA3P1
2938	ENSG00000237188	antisense	AC242426.2
2939	ENSG00000131781	protein_coding	FMO5
2940	ENSG00000226015	processed_pseudogene	CCT8P1
2941	ENSG00000236806	processed_pseudogene	RPL7AP15
2942	ENSG00000131778	protein_coding	CHD1L
2943	ENSG00000278811	antisense	LINC00624
2944	ENSG00000213226	processed_pseudogene	AC242426.1
2945	ENSG00000226653	unitary_pseudogene	OR13Z1P
2946	ENSG00000207209	misc_RNA	RF00019
2947	ENSG00000272443	unprocessed_pseudogene	OR13Z2P
2948	ENSG00000272480	unprocessed_pseudogene	OR13Z3P
2949	ENSG00000116128	protein_coding	BCL9
2950	ENSG00000162836	protein_coding	ACP6
2951	ENSG00000277762	misc_RNA	RN7SL261P
2952	ENSG00000227139	lincRNA	AC241644.1
2953	ENSG00000265107	protein_coding	GJA5
2954	ENSG00000274415	antisense	AC241644.3
2955	ENSG00000234190	lincRNA	AC241644.2
2956	ENSG00000223728	processed_pseudogene	AC239801.1
2957	ENSG00000121634	protein_coding	GJA8
2958	ENSG00000188092	protein_coding	GPR89B
2959	ENSG00000215859	transcribed_unprocessed_pseudogene	PDZK1P1
2960	ENSG00000273059	lincRNA	AC239803.2
2961	ENSG00000206791	snRNA	RNU1-129P
2962	ENSG00000274372	lincRNA	AC239803.3
2963	ENSG00000206585	snRNA	RNVU1-7
2964	ENSG00000229828	unprocessed_pseudogene	PDE4DIPP1
2965	ENSG00000263956	protein_coding	NBPF11
2966	ENSG00000225080	processed_pseudogene	PFN1P4
2967	ENSG00000198658	unprocessed_pseudogene	ABHD17AP1
2968	ENSG00000227733	lincRNA	AC239809.3
2969	ENSG00000232265	lincRNA	AC239803.1
2970	ENSG00000238765	rRNA_pseudogene	RNA5SP57
2971	ENSG00000224335	unprocessed_pseudogene	AC239809.1
2972	ENSG00000227700	processed_pseudogene	AC239809.2
2973	ENSG00000199879	snRNA	RNU1-120P
2974	ENSG00000234283	lincRNA	LINC01731
2975	ENSG00000228626	unprocessed_pseudogene	AC245100.3
2976	ENSG00000274020	processed_transcript	LINC01138
2977	ENSG00000238107	lincRNA	AC245100.6
2978	ENSG00000224481	lincRNA	AC245100.1
2979	ENSG00000235988	processed_pseudogene	AC245100.5
2980	ENSG00000252744	misc_RNA	RF00019
2981	ENSG00000283676	miRNA	MIR5087
2982	ENSG00000202408	snRNA	RNU1-122P
2983	ENSG00000272824	lincRNA	AC245100.7
2984	ENSG00000207340	snRNA	RNVU1-1
2985	ENSG00000252135	snRNA	RNVU1-2
2986	ENSG00000278596	miRNA	MIR6077
2987	ENSG00000238825	snRNA	RNU1-13P
2988	ENSG00000231551	transcribed_unprocessed_pseudogene	AC245100.4
2989	ENSG00000201183	snRNA	RNVU1-3
2990	ENSG00000225871	processed_pseudogene	AC245100.2
2991	ENSG00000285062	transcribed_unprocessed_pseudogene	AC245100.9
2992	ENSG00000280649	TEC	AC245100.8
2993	ENSG00000236334	protein_coding	PPIAL4G
2994	ENSG00000274210	snRNA	RF00003
2995	ENSG00000270629	protein_coding	NBPF14
2996	ENSG00000252515	snRNA	RNU6-1171P
2997	ENSG00000177144	protein_coding	NUDT4B
2998	ENSG00000275140	unprocessed_pseudogene	SEC22B3
2999	ENSG00000271546	processed_pseudogene	AC245389.1
3000	ENSG00000178104	protein_coding	PDE4DIP
3001	ENSG00000252656	misc_RNA	RN7SKP88
3002	ENSG00000222788	snRNA	RNU2-38P
3003	ENSG00000254913	antisense	AC239802.1
3004	ENSG00000255148	antisense	AC239802.2
3005	ENSG00000254539	lincRNA	AC239804.1
3006	ENSG00000269713	protein_coding	NBPF9
3007	ENSG00000274019	unprocessed_pseudogene	AC239804.2
3008	ENSG00000201699	snRNA	RNU1-59P
3009	ENSG00000274265	lincRNA	AC245297.3
3010	ENSG00000215861	unprocessed_pseudogene	AC245297.1
3011	ENSG00000272755	lincRNA	AC245297.2
3012	ENSG00000273591	misc_RNA	RF00100
3013	ENSG00000274423	unprocessed_pseudogene	SEC22B2
3014	ENSG00000271383	protein_coding	NBPF19
3015	ENSG00000263464	protein_coding	PPIAL4C
3016	ENSG00000277147	transcribed_unprocessed_pseudogene	LINC00869
3017	ENSG00000284964	transcribed_unprocessed_pseudogene	AC242842.2
3018	ENSG00000275557	processed_transcript	AC242842.1
3019	ENSG00000206828	snRNA	RF00003
3020	ENSG00000284842	transcribed_processed_pseudogene	FAM91A2P
3021	ENSG00000234232	transcribed_unprocessed_pseudogene	AC243772.3
3022	ENSG00000275229	snRNA	RNU1-68P
3023	ENSG00000226500	processed_pseudogene	AC243772.1
3024	ENSG00000150337	protein_coding	FCGR1A
3025	ENSG00000203814	protein_coding	HIST2H2BF
3026	ENSG00000233030	antisense	AC243772.2
3027	ENSG00000183598	protein_coding	HIST2H3D
3028	ENSG00000270882	protein_coding	HIST2H4A
3029	ENSG00000203811	protein_coding	HIST2H3C
3030	ENSG00000203812	protein_coding	HIST2H2AA3
3031	ENSG00000220323	transcribed_unprocessed_pseudogene	HIST2H2BD
3032	ENSG00000261716	transcribed_unprocessed_pseudogene	HIST2H2BC
3033	ENSG00000272196	protein_coding	HIST2H2AA4
3034	ENSG00000203852	protein_coding	HIST2H3A
3035	ENSG00000270276	protein_coding	HIST2H4B
3036	ENSG00000264207	antisense	AC239868.1
3037	ENSG00000184678	protein_coding	HIST2H2BE
3038	ENSG00000184260	protein_coding	HIST2H2AC
3039	ENSG00000184270	protein_coding	HIST2H2AB
3040	ENSG00000178096	protein_coding	BOLA1
3041	ENSG00000159164	protein_coding	SV2A
3042	ENSG00000143368	protein_coding	SF3B4
3043	ENSG00000014914	protein_coding	MTMR11
3044	ENSG00000264522	protein_coding	OTUD7B
3045	ENSG00000285184	bidirectional_promoter_lncRNA	AC244033.2
3046	ENSG00000223945	processed_pseudogene	AC244033.1
3047	ENSG00000136631	protein_coding	VPS45
3048	ENSG00000023902	protein_coding	PLEKHO1
3049	ENSG00000285554	lincRNA	AC242988.2
3050	ENSG00000266187	misc_RNA	RN7SL480P
3051	ENSG00000143401	protein_coding	ANP32E
3052	ENSG00000222222	snRNA	RNU2-17P
3053	ENSG00000276110	antisense	AC242988.1
3054	ENSG00000118298	protein_coding	CA14
3055	ENSG00000117362	protein_coding	APH1A
3056	ENSG00000118292	protein_coding	C1orf54
3057	ENSG00000159208	protein_coding	CIART
3058	ENSG00000266472	protein_coding	MRPS21
3059	ENSG00000117360	protein_coding	PRPF3
3060	ENSG00000163125	protein_coding	RPRD2
3061	ENSG00000143374	protein_coding	TARS2
3062	ENSG00000283933	miRNA	MIR6878
3063	ENSG00000143369	protein_coding	ECM1
3064	ENSG00000228126	lincRNA	FALEC
3065	ENSG00000237781	antisense	AL356356.1
3066	ENSG00000143382	protein_coding	ADAMTSL4
3067	ENSG00000264553	miRNA	MIR4257
3068	ENSG00000203804	processed_transcript	ADAMTSL4-AS1
3069	ENSG00000277452	misc_RNA	RN7SL473P
3070	ENSG00000274963	misc_RNA	RN7SL600P
3071	ENSG00000143384	protein_coding	MCL1
3072	ENSG00000253047	snoRNA	RF00561
3073	ENSG00000143420	protein_coding	ENSA
3074	ENSG00000276103	snRNA	RF00015
3075	ENSG00000143457	protein_coding	GOLPH3L
3076	ENSG00000143452	protein_coding	HORMAD1
3077	ENSG00000206931	snRNA	RNU6-1042P
3078	ENSG00000163131	protein_coding	CTSS
3079	ENSG00000236713	processed_pseudogene	AL356292.1
3080	ENSG00000143387	protein_coding	CTSK
3081	ENSG00000224690	processed_pseudogene	UBE2D3P3
3082	ENSG00000143437	protein_coding	ARNT
3083	ENSG00000200175	snRNA	RNU6-1309P
3084	ENSG00000224800	processed_pseudogene	RPS27AP6
3085	ENSG00000283324	protein_coding	CTXND2
3086	ENSG00000229357	processed_pseudogene	CYCSP51
3087	ENSG00000143379	protein_coding	SETDB1
3088	ENSG00000143418	protein_coding	CERS2
3089	ENSG00000259357	antisense	AL590133.2
3090	ENSG00000231073	antisense	AL590133.1
3091	ENSG00000143412	protein_coding	ANXA9
3092	ENSG00000143409	protein_coding	MINDY1
3093	ENSG00000143363	protein_coding	PRUNE1
3094	ENSG00000200759	snRNA	RNU6-884P
3095	ENSG00000163141	protein_coding	BNIPL
3096	ENSG00000143443	protein_coding	C1orf56
3097	ENSG00000197622	protein_coding	CDC42SE1
3098	ENSG00000213190	protein_coding	MLLT11
3099	ENSG00000143458	protein_coding	GABPB2
3100	ENSG00000233717	processed_pseudogene	RPS29P29
3101	ENSG00000261168	sense_overlapping	AL592424.1
3102	ENSG00000143434	protein_coding	SEMA6C
3103	ENSG00000163154	protein_coding	TNFAIP8L2
3104	ENSG00000163156	protein_coding	SCNM1
3105	ENSG00000163155	protein_coding	LYSMD1
3106	ENSG00000163157	protein_coding	TMOD4
3107	ENSG00000163159	protein_coding	VPS72
3108	ENSG00000143398	protein_coding	PIP5K1A
3109	ENSG00000159352	protein_coding	PSMD4
3110	ENSG00000232671	antisense	AL391069.2
3111	ENSG00000143373	protein_coding	ZNF687
3112	ENSG00000143393	protein_coding	PI4KB
3113	ENSG00000265753	misc_RNA	RN7SL444P
3114	ENSG00000273481	lincRNA	AL391069.4
3115	ENSG00000143390	protein_coding	RFX5
3116	ENSG00000224645	antisense	AL391069.1
3117	ENSG00000237976	antisense	AL391069.3
3118	ENSG00000143416	protein_coding	SELENBP1
3119	ENSG00000159377	protein_coding	PSMB4
3120	ENSG00000143442	protein_coding	POGZ
3121	ENSG00000238711	misc_RNA	RNY4P25
3122	ENSG00000143375	protein_coding	CGN
3123	ENSG00000252840	snoRNA	RF00405
3124	ENSG00000143367	protein_coding	TUFT1
3125	ENSG00000232536	sense_intronic	AL365436.2
3126	ENSG00000207606	miRNA	MIR554
3127	ENSG00000223861	processed_pseudogene	AL365436.1
3128	ENSG00000143376	protein_coding	SNX27
3129	ENSG00000250734	antisense	AL391335.1
3130	ENSG00000206635	snRNA	RNU6-1062P
3131	ENSG00000227045	antisense	AL589765.1
3132	ENSG00000159409	protein_coding	CELF3
3133	ENSG00000178796	protein_coding	RIIAD1
3134	ENSG00000206980	snRNA	RNU6-662P
3135	ENSG00000269621	antisense	AL589765.7
3136	ENSG00000236940	processed_pseudogene	AL589765.3
3137	ENSG00000143436	protein_coding	MRPL9
3138	ENSG00000143450	protein_coding	OAZ3
3139	ENSG00000249602	antisense	AL589765.4
3140	ENSG00000232937	sense_intronic	AL589765.2
3141	ENSG00000268288	antisense	AL589765.5
3142	ENSG00000182134	protein_coding	TDRKH
3143	ENSG00000203288	antisense	TDRKH-AS1
3144	ENSG00000269489	lincRNA	AL589765.6
3145	ENSG00000213171	protein_coding	LINGO4
3146	ENSG00000143365	protein_coding	RORC
3147	ENSG00000225556	protein_coding	C2CD4D
3148	ENSG00000201134	misc_RNA	RF00019
3149	ENSG00000234614	antisense	AL450992.2
3150	ENSG00000196407	protein_coding	THEM5
3151	ENSG00000159445	protein_coding	THEM4
3152	ENSG00000285651	antisense	AL450992.3
3153	ENSG00000223810	processed_pseudogene	KRT8P28
3154	ENSG00000197747	protein_coding	S100A10
3155	ENSG00000229021	antisense	AL450992.1
3156	ENSG00000240667	unprocessed_pseudogene	NBPF18P
3157	ENSG00000163191	protein_coding	S100A11
3158	ENSG00000232678	processed_pseudogene	SPTLC1P4
3159	ENSG00000285818	unprocessed_pseudogene	AL591893.1
3160	ENSG00000182898	protein_coding	TCHHL1
3161	ENSG00000159450	protein_coding	TCHH
3162	ENSG00000226716	antisense	AL589986.1
3163	ENSG00000233792	transcribed_processed_pseudogene	PUDPP2
3164	ENSG00000215853	protein_coding	RPTN
3165	ENSG00000237975	antisense	FLG-AS1
3166	ENSG00000236427	lincRNA	AL589986.2
3167	ENSG00000197915	protein_coding	HRNR
3168	ENSG00000143631	protein_coding	FLG
3169	ENSG00000143520	protein_coding	FLG2
3170	ENSG00000183586	processed_pseudogene	HMGN3P1
3171	ENSG00000143536	protein_coding	CRNN
3172	ENSG00000186207	protein_coding	LCE5A
3173	ENSG00000169509	protein_coding	CRCT1
3174	ENSG00000185966	protein_coding	LCE3E
3175	ENSG00000163202	protein_coding	LCE3D
3176	ENSG00000244057	protein_coding	LCE3C
3177	ENSG00000187238	protein_coding	LCE3B
3178	ENSG00000185962	protein_coding	LCE3A
3179	ENSG00000226947	unprocessed_pseudogene	LCEP4
3180	ENSG00000285753	unprocessed_pseudogene	AL139247.1
3181	ENSG00000187223	protein_coding	LCE2D
3182	ENSG00000187180	protein_coding	LCE2C
3183	ENSG00000159455	protein_coding	LCE2B
3184	ENSG00000187173	protein_coding	LCE2A
3185	ENSG00000187170	protein_coding	LCE4A
3186	ENSG00000198854	protein_coding	C1orf68
3187	ENSG00000229713	unprocessed_pseudogene	LCEP2
3188	ENSG00000233819	unprocessed_pseudogene	LCEP1
3189	ENSG00000203786	protein_coding	KPRP
3190	ENSG00000240386	protein_coding	LCE1F
3191	ENSG00000186226	protein_coding	LCE1E
3192	ENSG00000172155	protein_coding	LCE1D
3193	ENSG00000197084	protein_coding	LCE1C
3194	ENSG00000196734	protein_coding	LCE1B
3195	ENSG00000186844	protein_coding	LCE1A
3196	ENSG00000235942	protein_coding	LCE6A
3197	ENSG00000285946	protein_coding	AL162596.1
3198	ENSG00000163206	protein_coding	SMCP
3199	ENSG00000163207	protein_coding	IVL
3200	ENSG00000224308	antisense	LINC01527
3201	ENSG00000283227	protein_coding	SPRR5
3202	ENSG00000184148	protein_coding	SPRR4
3203	ENSG00000169474	protein_coding	SPRR1A
3204	ENSG00000163209	protein_coding	SPRR3
3205	ENSG00000252920	snoRNA	RF00322
3206	ENSG00000234262	unprocessed_pseudogene	AL356867.1
3207	ENSG00000169469	protein_coding	SPRR1B
3208	ENSG00000163216	protein_coding	SPRR2D
3209	ENSG00000241794	protein_coding	SPRR2A
3210	ENSG00000196805	protein_coding	SPRR2B
3211	ENSG00000203785	protein_coding	SPRR2E
3212	ENSG00000244094	protein_coding	SPRR2F
3213	ENSG00000229035	unprocessed_pseudogene	SPRR2C
3214	ENSG00000159516	protein_coding	SPRR2G
3215	ENSG00000229699	lincRNA	AL161636.1
3216	ENSG00000203784	protein_coding	LELP1
3217	ENSG00000203783	protein_coding	PRR9
3218	ENSG00000230779	processed_pseudogene	AL161636.2
3219	ENSG00000203782	protein_coding	LOR
3220	ENSG00000159527	protein_coding	PGLYRP3
3221	ENSG00000163218	protein_coding	PGLYRP4
3222	ENSG00000207321	snRNA	RNU6-160P
3223	ENSG00000163220	protein_coding	S100A9
3224	ENSG00000163221	protein_coding	S100A12
3225	ENSG00000237008	processed_pseudogene	LAPTM4BP1
3226	ENSG00000143546	protein_coding	S100A8
3227	ENSG00000224784	processed_pseudogene	S100A15A
3228	ENSG00000184330	protein_coding	S100A7A
3229	ENSG00000203781	unprocessed_pseudogene	S100A7P1
3230	ENSG00000197364	protein_coding	S100A7L2
3231	ENSG00000143556	protein_coding	S100A7
3232	ENSG00000263841	misc_RNA	RN7SL44P
3233	ENSG00000238279	antisense	BX470102.1
3234	ENSG00000197956	protein_coding	S100A6
3235	ENSG00000196420	protein_coding	S100A5
3236	ENSG00000196154	protein_coding	S100A4
3237	ENSG00000188015	protein_coding	S100A3
3238	ENSG00000196754	protein_coding	S100A2
3239	ENSG00000285867	lincRNA	BX470102.2
3240	ENSG00000188643	protein_coding	S100A16
3241	ENSG00000189334	protein_coding	S100A14
3242	ENSG00000189171	protein_coding	S100A13
3243	ENSG00000271853	processed_transcript	AL162258.1
3244	ENSG00000160678	protein_coding	S100A1
3245	ENSG00000272030	antisense	AL162258.2
3246	ENSG00000160679	protein_coding	CHTOP
3247	ENSG00000143553	protein_coding	SNAPIN
3248	ENSG00000143621	protein_coding	ILF2
3249	ENSG00000169418	protein_coding	NPR1
3250	ENSG00000274940	miRNA	MIR8083
3251	ENSG00000242565	misc_RNA	RN7SL372P
3252	ENSG00000235015	processed_pseudogene	GEMIN2P1
3253	ENSG00000199565	misc_RNA	RF00019
3254	ENSG00000143624	protein_coding	INTS3
3255	ENSG00000243613	antisense	AL513523.4
3256	ENSG00000233222	antisense	AL513523.3
3257	ENSG00000143554	protein_coding	SLC27A3
3258	ENSG00000207039	misc_RNA	RF00019
3259	ENSG00000143614	protein_coding	GATAD2B
3260	ENSG00000231827	transcribed_unprocessed_pseudogene	AL513523.2
3261	ENSG00000223599	processed_pseudogene	AL513523.1
3262	ENSG00000236327	processed_pseudogene	AL831737.1
3263	ENSG00000284738	antisense	AL358472.5
3264	ENSG00000198837	protein_coding	DENND4B
3265	ENSG00000160741	protein_coding	CRTC2
3266	ENSG00000143570	protein_coding	SLC39A1
3267	ENSG00000285779	protein_coding	AL358472.7
3268	ENSG00000276584	miRNA	MIR6737
3269	ENSG00000282386	antisense	AL358472.4
3270	ENSG00000273026	antisense	AL358472.3
3271	ENSG00000143578	protein_coding	CREB3L4
3272	ENSG00000143543	protein_coding	JTB
3273	ENSG00000285641	protein_coding	AL358472.6
3274	ENSG00000272654	lincRNA	AL358472.2
3275	ENSG00000143545	protein_coding	RAB13
3276	ENSG00000177954	protein_coding	RPS27
3277	ENSG00000143552	protein_coding	NUP210L
3278	ENSG00000231416	processed_pseudogene	AL358472.1
3279	ENSG00000200220	snRNA	RNU6-179P
3280	ENSG00000231837	processed_pseudogene	RPS7P2
3281	ENSG00000263987	miRNA	MIR5698
3282	ENSG00000143549	protein_coding	TPM3
3283	ENSG00000264384	misc_RNA	RN7SL431P
3284	ENSG00000215938	miRNA	MIR190B
3285	ENSG00000163263	protein_coding	C1orf189
3286	ENSG00000143612	protein_coding	C1orf43
3287	ENSG00000143569	protein_coding	UBAP2L
3288	ENSG00000201129	snoRNA	SNORA58B
3289	ENSG00000143575	protein_coding	HAX1
3290	ENSG00000252682	snoRNA	RF00273
3291	ENSG00000212292	snRNA	RNU6-239P
3292	ENSG00000222457	snRNA	RNU6-121P
3293	ENSG00000278694	unprocessed_pseudogene	AL354980.1
3294	ENSG00000143595	protein_coding	AQP10
3295	ENSG00000143515	protein_coding	ATP8B2
3296	ENSG00000238365	snRNA	RNU7-57P
3297	ENSG00000237920	unprocessed_pseudogene	AL162591.1
3298	ENSG00000226855	processed_pseudogene	RPSAP17
3299	ENSG00000228013	antisense	IL6R-AS1
3300	ENSG00000160712	protein_coding	IL6R
3301	ENSG00000228264	processed_pseudogene	PSMD8P1
3302	ENSG00000169291	protein_coding	SHE
3303	ENSG00000273110	antisense	AL162591.2
3304	ENSG00000163239	protein_coding	TDRD10
3305	ENSG00000160714	protein_coding	UBE2Q1
3306	ENSG00000229780	antisense	UBE2Q1-AS1
3307	ENSG00000160716	protein_coding	CHRNB2
3308	ENSG00000233875	antisense	AL592078.1
3309	ENSG00000160710	protein_coding	ADAR
3310	ENSG00000143603	protein_coding	KCNN3
3311	ENSG00000163344	protein_coding	PMVK
3312	ENSG00000270361	lincRNA	AL451085.1
3313	ENSG00000163346	protein_coding	PBXIP1
3314	ENSG00000268154	misc_RNA	RF00017
3315	ENSG00000163348	protein_coding	PYGO2
3316	ENSG00000271380	antisense	AL451085.2
3317	ENSG00000160691	protein_coding	SHC1
3318	ENSG00000173207	protein_coding	CKS1B
3319	ENSG00000264349	miRNA	MIR4258
3320	ENSG00000160688	protein_coding	FLAD1
3321	ENSG00000163352	protein_coding	LENEP
3322	ENSG00000160685	protein_coding	ZBTB7B
3323	ENSG00000163354	protein_coding	DCST2
3324	ENSG00000163357	protein_coding	DCST1
3325	ENSG00000232093	antisense	DCST1-AS1
3326	ENSG00000143537	protein_coding	ADAM15
3327	ENSG00000243364	protein_coding	EFNA4
3328	ENSG00000251246	protein_coding	AL691442.1
3329	ENSG00000143590	protein_coding	EFNA3
3330	ENSG00000202027	misc_RNA	RF00019
3331	ENSG00000169242	protein_coding	EFNA1
3332	ENSG00000169241	protein_coding	SLC50A1
3333	ENSG00000179085	protein_coding	DPM3
3334	ENSG00000223452	processed_pseudogene	HMGN2P18
3335	ENSG00000163463	protein_coding	KRTCAP2
3336	ENSG00000273088	protein_coding	AL713999.1
3337	ENSG00000163462	protein_coding	TRIM46
3338	ENSG00000185499	protein_coding	MUC1
3339	ENSG00000231064	antisense	AC234582.1
3340	ENSG00000284586	miRNA	MIR92B
3341	ENSG00000169231	protein_coding	THBS3
3342	ENSG00000173171	protein_coding	MTX1
3343	ENSG00000236263	antisense	AC234582.2
3344	ENSG00000160766	transcribed_unprocessed_pseudogene	GBAP1
3345	ENSG00000236675	unprocessed_pseudogene	MTX1P1
3346	ENSG00000177628	protein_coding	GBA
3347	ENSG00000160767	protein_coding	FAM189B
3348	ENSG00000116521	protein_coding	SCAMP3
3349	ENSG00000176444	protein_coding	CLK2
3350	ENSG00000143630	protein_coding	HCN3
3351	ENSG00000143627	protein_coding	PKLR
3352	ENSG00000160752	protein_coding	FDPS
3353	ENSG00000225855	antisense	RUSC1-AS1
3354	ENSG00000160753	protein_coding	RUSC1
3355	ENSG00000116539	protein_coding	ASH1L
3356	ENSG00000283701	miRNA	MIR555
3357	ENSG00000207134	snRNA	RNU6-106P
3358	ENSG00000227773	sense_intronic	ASH1L-IT1
3359	ENSG00000207144	snRNA	RNU6-1297P
3360	ENSG00000237872	processed_pseudogene	POU5F1P4
3361	ENSG00000235919	antisense	ASH1L-AS1
3362	ENSG00000271267	processed_pseudogene	AL353807.4
3363	ENSG00000225082	unprocessed_pseudogene	DAP3P1
3364	ENSG00000223503	processed_pseudogene	AL353807.1
3365	ENSG00000232519	antisense	AL353807.2
3366	ENSG00000125459	protein_coding	MSTO1
3367	ENSG00000246203	unprocessed_pseudogene	AL353807.3
3368	ENSG00000163374	protein_coding	YY1AP1
3369	ENSG00000132676	protein_coding	DAP3
3370	ENSG00000227673	antisense	AL162734.1
3371	ENSG00000203761	unprocessed_pseudogene	MSTO2P
3372	ENSG00000116580	protein_coding	GON4L
3373	ENSG00000234937	processed_pseudogene	AL139128.1
3374	ENSG00000132718	protein_coding	SYT11
3375	ENSG00000283442	snRNA	RF00015
