genes	logFC	logCPM	LR	PValue	FDR	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	IRI1	IRI2	IRI3	IRI4	IRI5	IRI6	IRI7	IRI8	IRI9	IRI10	IRI11	IRI12	IRI13	IRI14	IRI15	IRI16	IRI17	IRI18	IRI19	IRI20	IRI21	IRI22	IRI23
AC002310.6	1.95314886761671	4.38143229950257	6.16901999353029	0.0130006607026109	1	1	7	2	2	2	0	4	9	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	1	1	1	0	0	1
AC117490.2	2.38237153487233	4.14025998796408	6.15290296402674	0.0131196578862307	1	3	3	0	1	1	4	9	8	4	8	5	6	4	0	7	0	0	0	0	9	0	3	0	1	0	0	1	2	0	0	5	0	0	0	4	2	0	3	0	7
AC007064.2	-2.02746762858036	3.9259792301328	6.12540403098312	0.0133252830339178	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	0	0	6	0	0	0	0
AC004832.6	1.42236796703311	4.92414180651024	6.11822665850919	0.0133794956610869	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	3	0	2	0	0	0	4	0	0	0	0	3	0	1	2	0	0	0	0
AL391422.2	2.34234377938086	4.12274029333317	6.11568377029291	0.0133987571465846	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC122136.1	-2.2025413483085	3.93950493734286	6.10403456166998	0.0134873610168806	1	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02215	-2.2025413483085	3.93950493734286	6.10403456166998	0.0134873610168806	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC147067.2	-2.03361145144158	4.22516259006398	6.08719134200201	0.013616537293025	1	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	5	2	0	0	0	0	0	0	0	0	2	0	0	2	0	0	0	8	4	2	0	3
AC016957.2	1.19202781003281	5.37991342347604	6.08571530392412	0.0136279179922794	1	0	2	1	2	0	0	0	0	2	0	0	3	0	2	2	2	0	6	3	13	0	0	0	0	0	2	4	3	0	0	4	3	0	2	2	5	3	0	8	0
AC007881.2	-2.33573377794076	4.0323598796315	6.07817657957422	0.013686196608794	1	0	1	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC002044.3	-2.01331324976309	4.26654072833475	6.07135306595882	0.013739167254869	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
U62317.3	2.17400981748363	3.98118677373131	6.06753513165146	0.0137688976795103	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AC100778.3	2.33681674663235	4.12455594998388	6.06039446985632	0.0138246800921283	1	5	1	0	2	4	4	8	0	0	4	3	7	12	0	2	1	0	0	1	2	0	0	0	0	0	0	0	1	2	0	0	1	0	0	8	1	5	0	0	2
C11orf72	-1.90728678115255	4.32272721057971	6.02288826643669	0.014121517711002	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL353616.2	2.25956975574078	3.99484548601351	6.02114922134752	0.0141354391818034	1	0	1	0	4	0	0	0	0	0	0	1	2	0	0	0	0	0	2	0	3	0	3	1	5	3	0	1	0	2	5	0	0	0	2	2	1	0	7	0	2
AC006372.3	-2.09342912424661	4.19186593029523	6.00938385564639	0.0142299954693463	1	1	4	6	1	2	1	0	4	2	6	2	5	9	6	3	2	2	5	12	9	1	13	2	1	8	3	1	0	2	4	3	1	4	4	3	81	5	2	4	3
AP002433.1	1.09087077551433	5.69619028239215	5.96377375483255	0.0146027526502213	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	3	8	0	10	0	0	0	0	0	0	0	0
SPINT1-AS1	-1.32900762398033	4.94838887801675	5.95116047946387	0.0147076007564719	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	3	0	2	0	0	0	0	0	0	0	0	0
AL035427.1	2.31864667162067	4.11476826257581	5.93805792539946	0.0148173369745033	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	2	0	0	0	1	8	0	0	0	1	2	4	0	4	0	0	0	0
AC011676.5	1.82375098531409	4.47480028866148	5.93438961688425	0.0148482105025465	1	0	6	0	0	1	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC008649.2	-1.94793464272433	3.91607062943281	5.92258358981271	0.014948023777943	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
AC068860.1	-1.43345954883279	4.75700351541689	5.88184980538008	0.0152977416894377	1	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	11	0	0	0	0	0	0	0	11	0	0
IRAIN	-1.98268120394283	3.91826774744487	5.87916182445622	0.0153211135528591	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	3	2	1	3	0	0	0
PLCG1-AS1	1.18246165777983	5.37910136812604	5.86320332823001	0.0154606314061826	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	3	0	15	3	0	0	0	4	1	0	2	2	0	0	0	0	2	4	0	3	6	0	2	0	0
AC004895.1	1.97802793932831	4.31843143322692	5.84153649007701	0.0156521525723527	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	1	0	0	2	0	0	0	1	0	0
AP003392.6	-1.27634732077422	4.93461890151779	5.83151131411137	0.0157415943710286	1	1	0	0	3	0	1	1	2	0	0	0	1	0	1	1	0	3	10	1	3	0	0	0	3	0	4	0	1	1	0	3	3	0	1	6	18	4	2	4	2
AP003068.3	1.18190276755972	5.28954901057673	5.8253289024481	0.0157970144912434	1	0	0	0	0	0	0	0	9	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
AC018552.3	-1.96879404671407	3.91732870470326	5.82457407649063	0.0158037946302054	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	3	0	0	0
RNU6ATAC35P	2.18556612324377	4.20084194794228	5.82450741617353	0.0158043935430735	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0
AC026401.1	2.17556996317217	3.98527192749742	5.80958795716879	0.0159390283698991	1	0	1	0	4	3	2	2	0	2	0	1	2	0	1	2	1	0	9	1	1	0	5	2	3	4	2	0	0	2	1	5	3	1	6	1	50	0	0	0	1
FAM157C	1.01610445392581	5.81107029011789	5.79269991435792	0.0160928551737497	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	5	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	13	6	0	0	0
AP001922.5	2.80927540445342	5.18555778010955	5.78956993924633	0.0161215326019095	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	9	0
LINC01164	-1.94552912757289	3.9157778225956	5.78680499672951	0.016146909351201	1	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC020907.4	2.10975204486036	3.97374541458434	5.77457446321471	0.0162596565560253	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01848	2.84993168752863	4.01882110797213	5.76092664357075	0.0163864276381073	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	6	5	2	3	1	0	0	0	6
ADGRD1-AS1	2.15451627777234	3.98277145442089	5.74633062717547	0.0165231344946777	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	0	0	1	0	0	4	0	1	0	0	3	0	0	1	0
AC092112.1	2.10374624756672	4.26239332614518	5.74289815873601	0.0165554535820372	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	3	0	0	5	0	0	0	0	0	2	3	0	0	0	0	2	0	7	0
LINC02259	-1.81739299884786	3.90643807989492	5.73536752814882	0.0166265883268624	1	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	2	0	0	1	0	6	3	0	5	3	4	0	2
AC092611.2	1.3029471799408	5.08089492063681	5.73014097695333	0.0166761438449605	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL161935.3	2.15898065317699	3.97968106834427	5.723896953106	0.0167355462727722	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	4	0	3	0	0	1	2	1	0
AC020551.1	2.49985606412903	4.02113887766722	5.71850850119442	0.0167869846442995	1	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	0	0	0	3	10	0	2	0	0	2	0	0	0	1	0	13	0	0	1	3	3	2	0	0	0
AC016575.1	-1.76378643174906	4.37413529627324	5.71786092821745	0.0167931773674044	1	0	0	0	5	0	1	0	6	0	5	0	0	0	7	0	1	0	23	5	7	0	7	0	3	3	0	6	2	2	7	3	4	0	5	0	3	0	4	3	3
LINC02086	-1.91114829642414	3.91344022856847	5.70108194168133	0.0169544585527842	1	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007009.1	-2.35782283628028	3.93209743255954	5.69037503043415	0.0170582086833727	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	6	0	0	0	0	7	0	0
LINC00700	-1.90462677407839	3.91307991042927	5.68751501333397	0.0170860329781219	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0
AL133516.1	-1.90528208224517	3.91298192333434	5.66827698678768	0.0172744151665695	1	0	1	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC005746.3	-2.02913455325627	3.92167797898504	5.65106981682206	0.0174447264036372	1	4	0	0	1	0	0	0	0	1	0	0	1	0	0	1	2	7	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0
AC092162.2	-2.02639229699312	3.90824788289439	5.6473758582967	0.0174815134283823	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	3	0	0
AC018766.1	1.51691277643087	4.68024391309129	5.63824719893359	0.0175727667930175	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0	2	0	0	0	0	0	4	1	0	0	0	0	1	2	1
ZNF350-AS1	2.2974550292356	4.10236928443778	5.63802247981166	0.0175750193559949	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	1	0	0	0	0	0	3	0	0	1	1	1	0	0	0	2
AC021231.1	-2.23066420565702	4.01012389894867	5.59751719433896	0.0179859488770462	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	1	1	0	0	1	1	0	2	0	2	0	1	1	0	1	2
AC087386.1	2.17068960564957	3.97611770137275	5.57628379627653	0.018205313725741	1	0	0	2	0	0	1	2	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC007029.1	-1.85191692948192	3.90928049499025	5.53485960022113	0.0186412610553747	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	4	0	1	1	2
AC048380.3	-1.95225057260297	3.91646477630798	5.51947183189897	0.0188059358916469	1	0	0	0	2	1	0	14	1	1	2	0	0	0	0	3	0	3	0	1	0	0	0	1	0	1	1	0	1	0	0	0	1	0	0	1	1	0	0	0	1
AL390726.3	-1.95225057260297	3.91646477630798	5.51947183189897	0.0188059358916469	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AGBL5-AS1	-2.23068016908301	4.02349815250594	5.51324896285889	0.0188729570958579	1	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC018809.2	1.19075503104488	5.20789321150649	5.50849887754644	0.0189242822568301	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	4	0	1	0	0	0	0	0	2	1	0	0	0	0	0	2	0	0	3	0	0	1
AL121601.1	-2.17473807233483	4.0758637582621	5.50703733403587	0.0189401033816729	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC00853	1.8034534934056	4.42935579434845	5.50237243809902	0.0189906920993623	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	7	4	0	2	0	0	0	0	0	1	0	0	0	2	3	0	0	0	1	0	0	1	0
CALML3-AS1	-1.0635074282126	5.45118646047582	5.4994969125519	0.0190219454309485	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	0	2	0	0	1	0	1	0	0	2	0	0	0	1	0	3	3	1	1	0
AC099518.1	2.19158158710046	4.08518074642437	5.49015439267053	0.0191238541835809	1	0	0	0	0	0	1	0	0	0	1	2	0	0	2	0	0	0	4	0	1	2	0	2	1	3	0	1	0	0	6	1	1	0	0	0	6	0	0	0	2
AC245100.7	2.05298878582171	3.96461256268306	5.48977263909293	0.0191280303521742	1	0	2	0	0	0	5	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1
AC008906.2	1.96001730529313	4.31756924353503	5.47629938931662	0.0192760253163405	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC243829.2	2.1284015420221	3.97179019658937	5.47601139478013	0.019279201637438	1	1	8	5	2	3	0	1	0	12	2	3	0	1	0	0	0	0	0	0	0	0	1	1	0	3	2	1	2	1	0	0	2	0	0	2	0	0	0	0	2
AC005520.5	-1.52157573344595	4.56316504721124	5.45618364190352	0.0194991898892353	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2
SERTAD4-AS1	2.09012760015973	3.97246653477216	5.45006236263583	0.0195676281945149	1	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139354.1	-1.91399868401224	3.91383387283642	5.44949379923263	0.0195739975470466	1	54	37	20	19	21	14	77	28	30	18	32	24	8	25	43	85	1	84	35	13	18	16	42	33	28	14	6	4	37	87	45	23	132	54	113	1924	42	15	38	62
AC011824.1	-2.23823726736669	4.08730335185856	5.44692093388781	0.0196028469715898	1	0	0	0	0	1	0	3	0	3	0	2	1	0	0	1	1	0	0	0	6	0	1	0	1	0	0	0	0	0	3	6	35	2	1	0	3	3	2	2	1
LINC00698	2.18822695012236	3.97770607090256	5.44485258622807	0.0196260711332426	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	14	0	3	0	0
LINC00551	1.99001748086329	6.09235025016465	5.43643659951598	0.0197208626422343	1	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CERS3-AS1	-1.67744805078541	4.46767801506661	5.42333767955208	0.0198693420692825	1	4	1	0	0	1	2	0	0	2	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
AL118508.1	2.26745981274165	4.09006679173493	5.40645484845518	0.0200624198884583	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC061975.4	-1.79301486203088	3.9052044113646	5.38627757115582	0.020295721963658	1	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	3	0	0	0	4	0	1	5	0	2	0	0	0	2	0	0	0	0	0	0	0
AC129492.1	2.10553771653538	4.22464036163395	5.3494072466466	0.0207293167583375	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0
AC138956.2	2.07819521980336	4.17756686640195	5.33963818519125	0.0208457992683773	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0
AC073052.2	1.01484845811085	5.6944111194682	5.33781391229329	0.0208676261375093	1	0	0	0	0	0	3	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01620	1.77882072440552	4.38277814075206	5.3366365292868	0.0208817257229138	1	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LUNAR1	2.04903260512273	3.95983958759583	5.31360874396808	0.0211594829042218	1	0	0	0	3	2	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AP001412.1	1.53057358803814	4.59277032728443	5.28055461345386	0.0215648776674519	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0
AC034206.1	2.20393507453839	4.09749309966028	5.26012293124513	0.0218194775568302	1	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3	6	0	0	0	0	13	0	0	0	0	0	1	0
AL596223.2	-1.99697477200341	4.17062247540759	5.25421622526535	0.0218936597710227	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC021766.1	-1.75796921081516	4.34569470947455	5.24861664444493	0.0219642260106351	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01219	-1.75032990681342	3.89852772823049	5.22754330774471	0.0222319120305874	1	0	0	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL450468.2	-1.80348164153174	3.90090719293645	5.22741047819331	0.0222336099869571	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	9	0	0	0	0
AL359094.1	1.61028918931716	4.58972793739886	5.22425166157597	0.022274028661302	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	7	0	0	0	0	0	0	0	3	0	1	0	0
AL121992.2	-1.78679192529869	3.90077407284737	5.22230124819831	0.0222990232032006	1	0	2	0	2	0	5	2	1	0	0	0	0	2	4	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL035416.1	-1.7646212537596	3.89837322471818	5.2220315658189	0.0223024814681038	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0
AP001180.2	-1.88368300564499	3.90676877113349	5.22060215144699	0.022320820805872	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL358075.2	2.14544947618887	3.98273097557671	5.21891821321202	0.0223424457227046	1	3	1	3	0	0	1	1	6	4	2	2	1	28	1	0	0	0	0	0	5	1	0	2	0	0	3	2	0	0	0	0	0	0	0	1	3	1	2	1	0
AP000654.1	2.39596574406479	3.96584592105121	5.21700356017282	0.0223670598224638	1	1	0	1	0	0	1	0	0	5	0	2	2	0	1	2	1	0	4	1	8	0	2	1	3	0	3	5	0	2	0	6	10	0	1	1	9	6	2	9	7
LINC01513	1.99956971314185	3.95492231154521	5.19045626296855	0.0227112529368149	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	3	0	0	0	0	2	6	1	1	1	0	0	0	0	0	0	1	0	1	3	1
AC130686.1	2.11413203115633	3.96540501912741	5.18522510389146	0.022779721241065	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	2	0	1	0	0	2	0
AC022395.1	2.21115271342544	4.10310756986111	5.17643915965694	0.0228951983407791	1	0	0	0	0	0	0	0	3	0	0	1	2	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	0	0	0	11	0	0	2	5	0	0	1	1
AC103591.3	-1.70027033890555	4.35289338122317	5.16671730473233	0.0230236839087956	1	2	2	0	0	1	8	0	2	1	0	0	4	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	2
AL024498.1	1.99201362697435	3.95856294158762	5.15762127583951	0.0231445753397744	1	3	11	4	4	3	3	4	12	1	2	1	10	6	5	3	2	2	25	25	13	0	8	7	5	4	5	3	2	0	12	21	15	6	13	12	7	14	9	16	0
AC010201.1	-1.69315912700668	3.89466123992205	5.15450275719438	0.0231861735618953	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	5	5	0	2	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0
AC011352.1	-1.75830801213493	3.89881744320006	5.14716555737709	0.0232843511974612	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0
AL121988.1	2.07467974825176	4.16865252144416	5.14382633670586	0.0233291752783657	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	3	2	2	0	4	0	0	0	5	0	1	0	0
AC131025.1	-1.7201002158925	3.89630022318589	5.14239286768812	0.0233484449112515	1	0	2	1	0	1	0	2	0	0	0	0	0	0	0	1	0	0	0	0	85	0	0	4	0	0	0	2	0	0	0	3	4	0	1	0	0	1	0	0	0
BRWD1-IT1	-1.68628891170639	3.8942696780628	5.13907850194891	0.0233930620138027	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AL139130.1	-1.71381757520827	3.89616077072192	5.13708434832668	0.0234199493642705	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	3	0	0	0	0	0	0	0
AL035420.3	-1.83211655296224	3.90363867253724	5.13048253859857	0.0235091910330162	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0	0	5	0	0	0	0	0	0	4	0	2	0	1	0	0	0	1	5	0	0	0
LINC01117	1.97423372882855	3.95256354930008	5.12931430060626	0.0235250196776904	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0
AL354714.1	1.9536209797948	3.95420367060546	5.1276964925154	0.0235469578721219	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	3	0	0	0	0	0	3	0	0	0	0	0	0
AC008060.4	2.00796395818094	3.95593081924554	5.11222703483974	0.0237578050799523	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	2	0	1	0
AC009495.2	-1.48754660667837	4.5443796121903	5.10644484948633	0.0238371176221711	1	2	0	0	3	7	14	1	9	0	3	1	10	8	8	1	0	0	16	20	2	1	2	11	14	4	1	1	27	4	0	30	10	2	5	7	1	2	7	7	0
TYMSOS	-1.46711182663371	5.46596972938728	5.10179035858385	0.0239011614096768	1	0	0	0	0	0	3	0	2	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
AL591468.1	-1.73139409960587	3.89733054348048	5.08926005945142	0.0240744615276228	1	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	4	0	0	1	0	0	2	0	1	3	0	0	4	5	4
AL355340.1	-1.7309953429365	3.8972745828174	5.08708808724847	0.024104633271957	1	0	1	0	0	11	1	0	2	1	1	0	4	1	1	3	0	0	13	6	0	4	3	2	4	12	0	0	0	0	2	3	0	2	1	6	28	5	9	2	4
AC131888.1	2.00122943793691	3.96306901152739	5.08612445620036	0.0241180320217656	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	3	0	0	0	0	0	0	3	0	0	0	0	0	0	0
AC055855.1	1.89939166193348	4.27633140358899	5.06159486535471	0.024461717063391	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0
AC008742.1	1.5694188966078	4.56326590111606	5.05241145785352	0.0245916902007706	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	3	0	0	0	0
