genes	logFC	logCPM	LR	PValue	FDR	N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	IRI1	IRI2	IRI3	IRI4	IRI5	IRI6	IRI7	IRI8	IRI9	IRI10	IRI11	IRI12	IRI13	IRI14	IRI15	IRI16	IRI17	IRI18	IRI19	IRI20	IRI21	IRI22	IRI23
PTX3	1.31102229394043	0.863793244391127	7.98924064214982	0.0047056147025076	0.29373570767168	0	0	1	1	1	0	1	0	1	1	0	0	0	0	0	0	0	3	6	4	0	0	0	0	1	2	0	0	1	5	1	9	1	1	0	7	1	1	0	2
SLAMF1	1.38693195738082	0.202784797548389	7.97142936066352	0.00475213996228287	0.29373570767168	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KBTBD11	-1.00672967032498	-1.71428438968735	7.93067169366618	0.0048603750823253	0.29373570767168	1	0	0	0	0	1	0	0	0	0	0	0	2	2	0	0	0	0	3	4	0	2	0	0	1	0	3	3	0	0	0	2	1	2	1	0	0	4	0	1
FBP2	1.95703046342514	-3.06234433474479	7.91805055508248	0.00489439821152533	0.29373570767168	4	15	3	8	5	17	32	5	19	25	5	30	12	23	24	19	0	42	26	46	4	2	9	7	9	18	12	43	2	27	15	303	13	44	4	5	19	12	17	2
NUTM2E	1.91411624665151	-3.33510515922808	7.90549447803445	0.00492848675903733	0.29373570767168	0	0	0	2	2	2	3	0	3	0	0	0	6	0	1	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ACP4	-3.03839929772096	-3.18609665228827	7.90218671987919	0.00493750719678306	0.29373570767168	136	21	28	45	100	23	3	28	87	338	4	27	1337	152	63	34	101	3	46	43	36	49	38	197	107	30	8	52	77	27	29	21	15	14	26	37	103	5	241	65
PLEKHN1	1.37116514655119	0.203237417271777	7.84783419945708	0.00508816262885232	0.29373570767168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
AKR1B15	-2.64429001604098	-1.89252058656294	7.81731496490111	0.00517480193566838	0.29373570767168	0	0	0	0	0	0	0	0	9	2	0	1	0	2	0	1	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
MCEMP1	1.35502113476518	1.58080972925198	7.80925885601433	0.00519792179540816	0.29373570767168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
GOLGA8N	2.12461407496663	-3.31191896187859	7.77076114180513	0.00530986702251329	0.2938377925487	189	540	279	368	206	397	368	311	925	339	388	259	380	537	174	123	88	261	286	442	26	1279	1577	263	1457	702	441	194	1237	293	193	401	2479	230	1488	951	234	185	1149	886
DAW1	2.10232783059028	-3.31335203065499	7.76705305798524	0.00532077848549779	0.2938377925487	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	6	0	0	1	0	0	0	0	0	1	0	2	0	0
TUBB1	1.39982708111789	-0.00086827932763047	7.73554013600693	0.00541443646158783	0.295139063386256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	4	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	2	0
ITGB3	1.07378612944864	2.35078160044899	7.72327066726639	0.00545135500988199	0.295139063386256	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
GPR45	-1.93157462928376	-3.36646908324844	7.66353546058066	0.00563479799196637	0.298492412226725	0	1	3	0	0	0	0	5	0	3	2	0	3	1	3	1	10	3	2	5	0	0	0	1	0	1	0	1	1	0	2	0	0	1	0	0	0	3	1	0
FPR2	1.28620368044411	3.23347984114903	7.64997753468915	0.0056773028379528	0.299202886510454	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TMSB15A	2.29539444047332	-3.09323980309723	7.6401356472057	0.00570836242940966	0.299896336484304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PLAU	1.10849301544233	2.5503170142746	7.62858089468448	0.00574504885533788	0.299896336484304	0	0	1	0	0	0	0	6	2	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SLC7A13	-1.91380972659358	-3.1378500712	7.62721381480944	0.005749405224569	0.299896336484304	45	74	9	60	37	24	526	56	46	91	105	174	19	123	275	96	10	199	35	473	12	80	52	78	66	119	68	56	76	127	66	3113	50	343	50	71	108	75	65	22
XKR5	2.01425828578883	-3.3201883606771	7.56171700096426	0.00596211622610896	0.299896336484304	35	141	31	69	54	51	534	84	44	105	137	200	40	147	215	73	22	174	45	380	29	99	53	75	80	124	54	55	149	171	115	3900	66	395	92	83	144	79	49	64
LRFN5	-3.86865220513292	0.467350650519036	7.52971972550915	0.00606893484288112	0.299896336484304	20	1	2	1	11	0	0	6	21	11	7	10	1	10	15	1	1	11	4	10	1	5	14	7	15	7	16	10	8	9	13	29	17	32	20	32	11	14	24	16
FABP5	1.01534574396191	0.608907385166297	7.51916363281442	0.00610460171587299	0.299896336484304	0	0	0	0	0	0	1	0	4	3	1	0	0	0	0	0	0	0	10	8	0	0	0	1	0	0	0	7	0	2	8	2	0	0	0	1	1	0	4	2
TREML2	1.61785958129449	0.996996463610232	7.51119348751837	0.00613167286816743	0.299896336484304	55	66	49	53	89	82	73	293	154	82	122	2293	492	1164	185	182	1503	122	7	178	40	87	109	29	201	325	195	20	44	170	109	32	374	73	124	80	100	292	58	167
LGALS2	-1.49700558470891	-1.77979447300002	7.49817906157876	0.00617614089958388	0.299896336484304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	3	0	0	0	1	0	0	0	0	0	0	2	0
SCT	-2.82504774588298	-3.32979816043032	7.49402097263157	0.00619041763205576	0.299896336484304	19	5	0	5	7	2	13	2	28	2	11	10	1	1	20	4	9	6	2	10	0	17	10	6	8	23	49	2	3	49	0	3	46	27	333	5	2	9	10	10
C1orf194	-2.8154914018003	-3.33043602681584	7.48172732086376	0.00623282500758613	0.299896336484304	0	31	40	0	1	2	0	0	86	6	9	8	9	6	0	3	3	0	0	0	0	0	7	4	2	12	3	1	0	0	22	0	3	0	0	5	0	1	0	8
GSC	-1.95421148287731	-3.24594120764105	7.47332903604221	0.00626196553745894	0.299896336484304	0	6	17	2	0	8	5	0	34	9	1	2	5	8	2	1	0	4	0	3	0	0	5	4	3	3	0	4	1	2	12	1	0	4	4	1	0	5	3	0
SGO1	-1.25290963307136	-1.12336895787377	7.4301975334922	0.0064138300918351	0.299896336484304	12	5	4	6	16	11	41	44	39	15	19	102	4	24	42	18	11	233	63	85	22	45	6	7	21	21	37	7	9	26	38	170	18	53	29	41	50	19	160	11
CCL7	1.95339085192022	-0.947111981498489	7.40933785081921	0.00648862002286822	0.299896336484304	0	2	0	0	0	5	0	5	1	0	1	0	6	11	10	2	0	0	2	4	0	25	17	0	14	0	5	0	41	0	1	19	16	4	44	14	0	0	5	0
DEFB132	1.6453864926904	-0.0732709456583381	7.40378933760168	0.00650866306538712	0.299896336484304	0	39	69	0	3	4	2	7	133	6	2	4	6	19	0	11	0	0	0	0	0	2	18	4	19	24	7	14	2	3	25	0	11	4	5	6	1	5	8	1
ASTL	1.20246999159641	-1.51571555162138	7.30534842753194	0.0068749664453581	0.30431017015906	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	6	0	0	0	0	4	1	5	0	0	0	0	5	0	0	1	2	0	0	0	0
GLYATL2	2.42486707929056	-2.92702755107123	7.26973983757187	0.00701259602275237	0.306931982421481	0	0	0	0	0	0	0	0	0	0	0	0	10	3	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
IL2RA	1.14683976728023	1.88849688153707	7.22046621546252	0.00720769849925223	0.310963659013085	2	0	0	0	0	0	1	3	0	1	3	0	1	2	0	0	0	0	0	6	0	2	0	0	4	5	0	3	2	1	5	4	0	0	2	2	0	4	9	0
TMCO5A	-2.13295670402221	-3.34808855421212	7.10959004339107	0.00766726423039134	0.316853111232571	2	5	0	2	0	1	1	20	3	20	2	6	4	0	0	0	4	42	35	3	15	16	0	0	8	1	2	3	1	6	17	9	0	10	3	9	21	3	51	0
TUBB3	1.43034489284172	-2.19169902597113	7.07932704975776	0.00779782893283201	0.320337285190609	1	0	5	0	0	0	0	7	0	25	0	0	0	3	0	3	0	15	18	2	9	1	2	0	0	0	8	1	0	0	10	18	1	9	12	9	24	1	31	0
NEFM	2.07572749582212	-2.31470767718207	7.02869738237936	0.00802136794597308	0.321980498195018	0	0	0	0	0	0	0	1	22	0	0	2	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSTL4	-2.31852526019907	-1.40152763707083	7.02842122977483	0.00802260501459686	0.321980498195018	1	0	2	30	9	9	3	14	3	4	2	5	14	2	0	5	0	26	255	14	12	15	7	23	10	7	1	7	7	0	12	0	0	20	0	0	26	4	0	27
TUBA3C	-2.09373244399608	-3.34971799189395	7.02409021011026	0.00804203204034875	0.321980498195018	0	0	0	0	0	2	0	0	2	0	0	0	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CDC20	-1.68029275624977	-0.07577055399315	6.99255856303314	0.00818492715363448	0.321980498195018	1	0	0	4	0	0	0	0	1	1	0	0	0	2	0	0	0	1	4	2	3	1	0	0	2	0	0	0	0	6	0	24	0	1	0	1	1	0	1	0
B3GNT6	1.97070313838307	-3.3226027954272	6.97534891334166	0.00826401084632586	0.321980498195018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
CCNB1	-1.02055837079695	0.778718334612109	6.92536379027087	0.00849817038164771	0.323045536770836	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	3	9	0	1	1	0	0	1	0	0	1	0	0	8	1	2	0	0	0	1	0	0
NTSR1	1.12302782480477	-1.11513488033957	6.88396840001182	0.00869722488140354	0.324763975155868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	0	0	1	5	0	1	2	1	0	0	3	0	0	0	0	0
ZNF474	2.11324416253274	-3.00615089110496	6.88020089394021	0.0087155766707541	0.324763975155868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
PATE1	-1.71966185363634	-3.38665927760765	6.80207031572258	0.0091052231369706	0.324763975155868	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	1	0
UTF1	-1.71966185363634	-3.38665927760765	6.80207031572258	0.0091052231369706	0.324763975155868	1	0	0	6	0	0	2	0	4	12	4	4	0	0	0	0	0	0	2	2	0	0	0	0	0	1	0	3	0	0	0	2	0	0	0	0	1	0	1	0
TRIM67	-1.61583682253763	-2.95704789963363	6.77102387635581	0.00926496670608445	0.32836764992272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
C12orf54	1.92016621423393	-3.33368403018653	6.73420939961845	0.00945811413395274	0.328851890663944	11	5	6	1	7	25	9	37	36	25	25	63	66	25	18	5	8	103	75	10	7	37	13	17	15	17	17	48	8	18	49	96	23	52	27	13	59	21	197	11
TRIM34	1.74865521724472	-3.3537042406431	6.68616048544029	0.0097164248986763	0.329837734646399	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DWORF	-2.69556346612762	-3.06571380082582	6.67862140669388	0.00975760619371613	0.329837734646399	83	145	39	136	111	115	225	179	201	187	111	315	150	294	158	170	22	243	178	382	31	137	131	101	107	213	187	133	97	229	212	2767	134	369	130	147	158	176	230	187
CXCR2	1.38091063870774	3.42473346555535	6.65342142088073	0.00989656074640087	0.330564402278174	1	1	0	1	0	4	0	0	5	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	1	1	1	0	2	0
SNX32	1.09515334887804	-0.513347892822236	6.63285378979565	0.0100114743206873	0.330758127356163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	0	0
C7orf77	-1.66247992928437	-3.39056560424906	6.63226751249849	0.0100147698887396	0.330758127356163	0	0	2	0	2	0	0	0	0	0	2	3	0	2	0	0	0	0	4	2	0	0	2	0	2	4	0	3	0	1	1	1	0	3	5	2	5	0	1	1
GPC3	-1.38168408872155	0.260507870247331	6.62944993406195	0.0100306235131671	0.330758127356163	1	0	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MCTP2	1.06515493627191	2.08401998070698	6.60243586854454	0.0101839350788153	0.331175376212732	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MTRNR2L12	1.08618596377285	2.45618799878988	6.60203072865517	0.0101862525422675	0.331175376212732	0	1	0	1	0	2	1	0	4	0	2	4	7	1	0	4	0	0	3	0	0	0	0	1	0	0	0	0	0	4	0	0	0	2	0	0	0	0	1	0
TRPV3	-1.53474088454523	0.346996916607199	6.59075441912768	0.0102509721906171	0.331175376212732	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	2	0	4	0	0	0	0	0	2	1	0	4	0	2	1	0	0	1	1	0	4	1	0
PTH2R	2.05836517173092	-1.64909622080521	6.56601922342097	0.0103944190242069	0.332706053880681	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	3	0	1	2	0	3	0	0	0	0	0	0	0	0	3	3	3	0	1	0	0
GSDMA	1.26458697488875	-1.7586923406107	6.56060804326145	0.0104260735065326	0.332777259425027	52	129	19	99	53	66	460	87	63	144	117	406	42	100	190	149	13	117	41	367	27	105	33	121	69	121	25	98	163	184	52	3683	37	284	94	54	125	116	53	66
RASD2	1.03530845396165	-2.00234493686472	6.53372300196435	0.0105848183700211	0.334478754144751	0	0	3	3	5	3	1	3	0	2	2	2	7	1	4	1	0	8	2	13	0	4	4	3	2	11	9	7	19	2	3	8	9	2	3	2	6	0	4	0
C12orf50	1.94710733223897	-3.23901714650226	6.50805405876639	0.0107386961170205	0.334478754144751	0	2	1	0	0	3	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
KLHL29	1.06365358709775	2.38782950617677	6.50178019177119	0.0107766538204671	0.334478754144751	449	140	62	707	365	1158	195	431	165	2134	366	41	2113	28	662	137	30	99	22	241	11	306	94	207	202	820	36	162	566	120	35	53	187	38	37	66	29	57	118	87
CASP5	1.18697147942886	-1.68398343105003	6.49820976836578	0.0107983167595961	0.334478754144751	2	0	25	9	2	21	23	17	9	9	0	62	12	52	2	61	0	178	88	16	14	9	9	47	25	27	0	47	3	31	21	11	334	89	5	10	4	57	3	7
CRYBA4	4.29438900489998	-2.66870532367579	6.49405325498371	0.0108235919780463	0.334478754144751	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	42	0	0	0	3	0	0	0	1	0	0	0	3	0	0	3	2	0
OR51B5	-1.81588751386702	-3.37132778965295	6.43851838310707	0.0111671748735118	0.334478754144751	10	9	9	2	3	9	5	19	13	11	1	14	12	0	10	19	5	76	28	36	5	9	9	4	14	12	7	21	10	5	6	30	15	13	3	6	48	1	246	35
DEPDC1	-2.05468575876982	-1.32297682526834	6.4230885969888	0.0112646082173992	0.334478754144751	2	1	0	2	1	2	0	3	0	4	0	0	0	3	0	3	0	4	14	3	0	0	0	3	0	0	6	6	7	3	0	1	1	0	1	2	3	4	3	1
LOXL4	1.16966588743793	2.87971682529992	6.41063240547759	0.0113439005989276	0.334478754144751	15	4	7	15	6	19	7	2	8	12	2	8	23	17	7	14	0	68	32	27	26	10	9	15	36	4	12	12	14	2	46	9	3	69	7	6	19	21	63	4
FGF5	3.30064109317951	-2.65513110948282	6.39789084666492	0.0114256023512752	0.334478754144751	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	2	1	0	0	0	0	0	1	1	0	1	1	0	0	0	0	3	0	0	0	2
RAX	-1.86806885727914	-3.37894922683322	6.39259005123286	0.0114597699162289	0.334478754144751	1	0	0	0	1	3	0	2	2	14	1	1	1	2	0	0	0	0	1	2	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0
B3GALT1	1.97410306357363	-3.22841406466525	6.38349540044389	0.0115186362316948	0.334478754144751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TOP2A	-1.42744519050202	1.33195149054322	6.37766987190886	0.0115565057280032	0.334478754144751	42	55	15	105	107	72	345	159	48	133	79	185	67	193	240	85	4	226	124	279	53	120	77	78	125	136	70	29	118	175	175	2705	107	326	195	114	153	70	189	28
WNT9B	1.98768691077662	-2.75479340366629	6.37421432141036	0.0115790292845332	0.334478754144751	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	0
TCERG1L	1.63310828907856	-3.1311279048089	6.36212761434728	0.0116581665185546	0.334478754144751	0	3	0	0	0	3	0	0	55	14	1	1	136	9	0	15	0	4	0	2	0	0	0	3	3	2	1	0	9	0	6	2	0	0	0	0	13	0	1	2
TMEM155	-1.56704600461909	-3.39735114524477	6.33822299116777	0.0118163203274341	0.336815498383506	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PNMA6E	1.78744281177722	-3.34984006132951	6.31417469302002	0.0119776484238834	0.336815498383506	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AC024592.3	1.90142449866049	-3.33457145122083	6.30955010305823	0.0120089309032259	0.336832562964181	16	22	10	40	27	29	39	96	57	99	15	179	7	59	46	42	3	135	156	49	56	80	50	22	50	16	31	13	21	58	125	117	57	404	291	71	156	45	87	45
NPTX2	1.10006007983561	2.21681491708316	6.30368731066219	0.0120487097015122	0.336832562964181	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ECEL1	1.74213650190431	-0.470690020782794	6.28098512198355	0.0122040240700725	0.337365770316604	5	46	11	40	77	49	19	113	55	71	54	267	87	114	86	30	12	140	379	65	23	141	32	25	86	35	77	68	21	45	177	362	108	305	124	95	129	75	482	29
LRRC72	-1.54456247087733	-3.39898481753703	6.27858084552021	0.012220592625336	0.337365770316604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0
PNLIPRP3	-1.54333137932338	-3.39907499467709	6.27473130100903	0.0122471690644008	0.337365770316604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
LCE5A	-1.54210077564685	-3.39916516917838	6.27088588067019	0.0122737763077582	0.337365770316604	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	3	4	0	0	0	1	0	1	0	14	0	0	0	1	2	1	0	0	0	5	0	1
IBSP	-1.53964103323134	-3.39934551026416	6.26320739131131	0.0123270831400334	0.337885864645852	4	0	2	0	5	0	0	1	0	0	1	2	1	1	0	1	0	31	9	3	1	6	1	4	1	0	0	12	1	0	35	1	0	198	2	0	0	0	7	0
NEUROD6	-1.53964103323134	-3.39934551026416	6.26320739131131	0.0123270831400334	0.337885864645852	2	4	0	0	3	1	0	4	27	7	5	6	0	4	1	2	0	0	0	8	0	1	0	0	1	8	3	0	0	1	0	0	0	4	1	0	1	0	0	0
CATSPERD	-1.80377635039751	-3.38106920296753	6.20531053421389	0.0127367602526537	0.341303526632338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0
MC4R	-1.52144296758895	-3.40068228362562	6.20275857205148	0.0127551365600895	0.341303526632338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	0	0	0	0	0	1	2	0	0	0	1
PPP1R2B	-1.51968346352503	-3.40081280580376	6.19933856806268	0.0127798062447414	0.341303526632338	0	0	2	0	0	3	3	0	1	0	4	0	2	7	2	0	0	0	3	8	0	3	0	4	5	3	5	6	0	8	0	6	7	3	1	18	0	0	5	0
ART1	-1.51846722411588	-3.4009030520298	6.19670822922044	0.0127988131548957	0.341303526632338	6	6	4	4	5	65	7	2	10	17	10	51	517	40	2	15	7	9	24	6	0	4	0	10	12	63	16	22	3	6	21	8	22	53	22	3	10	11	0	18
PCDHA2	-1.51846722411588	-3.4009030520298	6.19670822922044	0.0127988131548957	0.341303526632338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
APCDD1L	1.77787817887738	-3.35049689479035	6.19586492811948	0.0128049130231489	0.341303526632338	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1	0	2	0	0	1	0	0	0	0	1	0
CLEC5A	1.23140428493696	0.24904452940564	6.18856859580777	0.0128578146646928	0.341303526632338	1	4	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HTR3A	-1.5148743150107	-3.40116815278132	6.18530789061778	0.0128815287953314	0.341303526632338	13	1	4	6	7	4	2	24	4	4	6	17	17	44	16	11	13	54	13	7	0	52	44	12	44	24	8	9	7	4	15	24	59	36	35	39	17	62	16	17
C3orf52	1.14952909289057	0.455034073862484	6.18420670849967	0.0128895475127551	0.341303526632338	33	4	4	3	4	7	0	12	1	8	0	4	226	2	0	8	4	0	12	10	0	0	11	3	22	6	5	7	4	3	0	17	2	34	5	2	5	6	0	4
FAM92B	-1.51520305381795	-3.40114237726392	6.18358069208978	0.0128941083998646	0.341303526632338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0
NXPH2	-1.63954432254805	-3.38798239346727	6.1618197699584	0.0130536845370633	0.341303526632338	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	4	0	0	0	4	0	0	4	1	0	0	0	0
ATP2C2	1.52761785956579	-0.415997613605654	6.15766289504476	0.0130843977364268	0.341303526632338	0	0	3	1	0	1	0	0	0	1	0	1	0	0	1	3	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
EDDM13	-1.82170859796056	-3.31131969909463	6.15436710278588	0.0131088015926262	0.341303526632338	3	3	0	0	0	2	6	9	1	0	4	3	5	3	2	0	1	9	4	0	1	5	1	5	4	10	27	3	0	2	7	9	8	5	4	0	8	0	18	9
SYCP2L	-1.42162907923268	-2.85305332740714	6.14637530817308	0.0131681717203772	0.341303526632338	0	0	0	0	0	2	0	0	1	0	0	0	0	3	0	2	0	4	2	0	0	0	0	1	0	2	5	3	0	0	0	2	0	0	0	3	4	4	1	0
ATP6V1G2	1.53101009305543	-2.7761917873322	6.14324577680551	0.0131914959083539	0.341303526632338	1	13	2	0	0	0	2	2	2	1	8	2	0	0	4	2	0	7	9	4	2	6	2	3	0	2	13	0	5	3	1	13	0	8	14	1	3	7	4	3
SLC2A5	1.06755342874421	-0.323041358568384	6.13522303992409	0.0132514830409172	0.341303526632338	0	4	0	12	8	0	24	23	2	15	10	7	11	30	19	14	0	35	9	3	7	18	13	6	19	10	22	14	1	19	19	108	11	104	22	10	8	47	5	0
DIO2	2.02686100369269	-1.38411789991188	6.13356806878872	0.0132638923484922	0.341303526632338	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	2	0	0	0	2	0	0	0	1	0	0	1	0
TBC1D3F	-1.49750681596352	-3.40245094757866	6.12839544042093	0.0133027548479569	0.341303526632338	1	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RGSL1	-1.44245769384031	-2.79825955352452	6.11808230622626	0.0133805883162889	0.341303526632338	0	0	1	0	0	2	0	0	0	1	1	0	0	0	0	0	0	4	0	3	0	0	0	0	1	2	1	0	2	1	2	4	8	3	0	1	0	0	0	1
GJB4	1.62163572749524	-3.36818429199919	6.11741943371547	0.013385607018901	0.341303526632338	0	8	0	10	0	0	1	7	8	7	0	2	4	11	4	9	0	8	14	20	2	5	0	5	4	0	7	4	2	21	2	14	8	13	13	3	8	8	29	1
BEST2	-1.49435881925485	-3.40268278919872	6.11708714344297	0.0133881235644128	0.341303526632338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	6	0	3	1	0	0	0	0	0	0	0	0	0	0	1
ASPM	-1.15487617666418	0.989859999090065	6.11139554246545	0.0134313035795816	0.341303526632338	0	0	2	0	1	0	1	1	0	5	2	1	0	0	2	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0
SYT14	2.25516872494668	-3.28554029215345	6.08821473775657	0.013608652341367	0.341735685808568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP1B4	-1.48161952184022	-3.4036316361153	6.07966667623148	0.0136746570238382	0.342159232582247	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	2	1	0	0	3	0	0	0	0	2	0	0	4
FAM187B	1.80809158838066	-3.34850504752096	6.07842396716404	0.0136842801002211	0.342159232582247	7	59	51	1	0	9	1	0	178	12	8	3	19	19	2	1	3	2	4	6	0	1	10	12	6	16	5	6	1	0	45	3	37	0	0	3	1	5	4	4
OR5K2	-1.47720581093972	-3.40395967056139	6.06554044021736	0.013784456741749	0.342770870075708	6	16	69	30	6	25	13	157	878	28	10	331	324	607	11	43	30	56	19	17	49	25	27	16	3	26	28	24	10	20	296	10	61	142	5	16	36	35	21	72
