N1	N2	N3	N4	N5	N6	N7	N8	N9	N10	N11	N12	N13	N14	N15	N16	N17	IRI1	IRI2	IRI3	IRI4	IRI5	IRI6	IRI7	IRI8	IRI9	IRI10	IRI11	IRI12	IRI13	IRI14	IRI15	IRI16	IRI17	IRI18	IRI19	IRI20	IRI21	IRI22	IRI23	genes
MIR3195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3195
MIR3196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3196
MIR3197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.580915900706299	0	0	0	0	0	0	0	0	0	0	0	0	1.14699898831994	0	0	0	0	0	0	0	0	hsa-mir-3197
MIR3198-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.603110845742339	1.71979893761828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.523318288420972	0	1.37712841623328	0	0.736135607250335	0	0	1.59421348967339	0	hsa-mir-3198-1
MIR3199-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3199-1
MIR32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.565950756692574	0	0	0	1.08813998041631	0	0	0	0	0.705272229403108	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-32
MIR3200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3200
MIR3201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3201
MIR3202-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3202-1
MIR320A	2.73219871066144	0	0	0	0	0	0	1.52337643688369	0.549801408542386	0.498596235704322	0	0	0	0	0.465528821183999	0	3.35570524413324	0.966257389475127	0.517156838433656	2.78472868490066	1.68501073259161	0.928899983282215	0	1.87649353638987	0	0	0.602061659246556	0	0	0	0.558345231968011	0	0	0.447846639425457	3.86330513417094	0	0	0	12.9610852818975	0	hsa-mir-320
MIR320B1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-320b-1
MIR320B2	0	0	0	0	0	0	0	0	0.653387181166314	0	0	0	0	0	0	0.34962947579266	0	0	0.307296092402607	0	0	0	0	0	0	0	0	1.00417726898784	0	0	0	0	0	0	0	0	0	0	0.616121155429328	0.286414048261704	hsa-mir-320b-2
MIR320C1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-320c-1
MIR320C2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-320c-2
MIR320D1	1.86700245228532	1.69550055252294	0	0	0	0	0	0	1.87848814585315	0	0	0	0	0	0	0	0	0	0	0.792874139450881	0	0	0	0	0	0.927261842365131	0	1.92467309889337	0	0	0	0	0.826913277873517	0	0	0	0.909020448436804	0	0	0.8234403887524	hsa-mir-320d-1
MIR320D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-320d-2
MIR320E	0	1.816607734846	0	1.1903854037494	0	0.321004896326204	0	0	0.80506634822278	0	1.61365092918313	0	0	1.04289468094734	0	0.430793461244528	0	0	0.378632685281784	1.35921281048723	0	0	0	0.457953779714194	0	0	0.440795143376943	0.412429949762865	0	0.685805553814676	0	1.4951951097742	1.06317421440881	0	0	0	0	2.49641222292421	0	1.41161209500411	hsa-mir-320e
MIR323A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.392656118069998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-323
MIR323B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-323b|hsa-mir-453
MIR324	0	0.726643093938402	0	0.793590269166265	3.29614234398623	0.963014688978613	0.930962848698652	4.46131670801653	1.20759952233417	1.09513101770771	0	0.836807916004729	2.58647806647977	2.43342092221046	1.363334404896	1.72317384497811	0	5.30578834399288	1.13589805584535	1.01940960786542	4.934674288304	1.70021871940048	1.28489279721374	3.20567645799936	3.45650881314002	1.5895917297688	0.440795143376943	0.412429949762865	0	2.40031943835137	2.4527308404309	1.12139633233065	1.06317421440881	1.96732630890469	0	7.8871672205393	1.94790096093601	2.49641222292421	1.89787320199213	0	hsa-mir-324
MIR325	0	0	0	0	0	0.366862738658519	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-325
MIR326	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-326
MIR328	0	0	0	1.60147946210129	0.415729665007273	0	0	0	0	0	0.407047081235384	0.281448908686275	0	0	0	0	0	0	0.764087581109186	0	0	0.686214402064339	0.432156135999818	0	0	1.60391237598293	0	0.832291069791727	0.421823543321198	0.345991991113711	0	0	1.07275236048456	0	0	0	0.393089923648348	0	0.765988463506732	0	hsa-mir-328
MIR329-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-329-1
MIR329-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.545051297873534	0	0	0	0	0	0	0	0	0	hsa-mir-329-2
MIR331	0.403676205899528	0	0	1.20110959657597	0	0	0.469674950694815	1.50050291681036	0	0	0	1.40724454343138	0	1.75381688087241	0.687808348415999	0	0	0	0.764087581109186	0.342864492735516	0	0.34310720103217	0.432156135999818	0.462079489441349	0	0	0.444766270794753	0	1.26547062996359	0	0.412471252444837	1.13149900199129	0	1.98504996934527	1.42698658109017	1.59164455621694	0.786179847296695	0.839634141043577	0	1.06824699081392	hsa-mir-331
MIR335	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-335
MIR337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.42752013603595	0	0	hsa-mir-337
MIR339	0	0	0	0	0	0	0	0	0	0	1.22114124370615	0	0	0	0	0	0	1.42762353039568	0	0	0	0	0	0	0	0	0	0	0	0.345991991113711	0	0	0	0	0	0	0	0	0	0.356082330271308	hsa-mir-339
MIR33A	0	0	0	0	0	0	0	0	0	0	0	1.81106254285081	0	0	0	0.69925895158532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-33|hsa-mir-33a
MIR33B	0.933501226142659	3.39100110504588	0	0	0.480687425164659	2.621539986664	0	0.433739124390496	3.75697629170631	0	0.470648187678412	1.95255180401104	4.1491418983113	0	0	2.0103694858078	0	0.412672426755002	0.441738132828748	7.53230432478337	0	0	0	2.13711763866624	0.504074201916253	6.49083289655592	1.5427830018193	0.481168274723342	3.90186777572108	1.60021295890091	0.953839771278685	0	0	0	0	0	0	1.45624046337245	0.44283708046483	1.2351605831286	hsa-mir-33b
MIR340	0	0	0	0	0	0	0	0	0.812319198206769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-340
MIR342	0	0	0	0	0	0	0.526605247748732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.899162998657096	0	0	0	0	0	0.422883465390684	0	0	0	0	0	0	0	1.59697529939859	hsa-mir-342
MIR345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.388346517282064	0	0	0	0	0	0.454169065648227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-345
MIR346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-346
MIR34B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-34b
MIR34C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-34c
MIR3591	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3591|hsa-mir-122b
MIR3609	1.68030220705679	0.508650165756881	1.10017120424212	1.11102637683277	2.30729964079036	1.34822056457006	0.651673994089056	0.520486949268595	1.12709288751189	0.51106114159693	2.25911130085638	1.95255180401104	0.905267323267919	0	0	0.603110845742339	0.859899468809142	0	0.530085759394498	0.951448967341057	3.4542720018128	0.476061241432135	2.39846655479899	1.92340587479961	1.20977808459901	0.556357105419078	3.0855660036386	0.577401929668011	2.34112066543265	2.88038332602164	1.71691158830163	2.61659144210486	2.48073983362055	0.918085610822188	0	0.736135607250335	1.63623680718625	1.74748855604694	0	0.98812846650288	hsa-mir-3609
MIR361	0	0	0	1.1903854037494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-361
MIR3611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3611
MIR3612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3612
MIR3613	1.54510547775337	0.467724290351155	0	0	0	0	0	0	1.0364072528845	0	0	1.07726996083367	0	0	0	0	0	0	0	0	0	0.437757463385872	2.75685810896436	0.589549693425169	0.556219809011038	0	0	0	0	0	2.10502570213227	0.96242443847535	0.456228015378492	0.422108326814799	0	0	0.501528523275478	0	0	1.36293581586604	hsa-mir-3613
MIR3616	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3616
MIR3617	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3617
MIR3619	0	0	0	0	0	0	0	0	0	0.49258905214162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3619
MIR362	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-362
MIR3621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3621
MIR3622B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3622b
MIR3646	1.60028781624456	5.32871602221495	0	0.529060179444177	0	0.856013056869878	1.8619256973973	4.46131670801653	3.22026539289112	1.94689958703593	4.30306914448834	1.11574388800631	6.46619516619942	0.463508747087707	1.817779206528	4.02073897161559	0	4.24463067519431	2.01937432150285	0	0	2.72034995104077	2.28425386171332	0.610605039618925	3.45650881314002	0.529863909922932	2.93863428917962	0	0.557409682245868	0.457203702543117	1.09010259574707	1.4951951097742	2.3626093653529	0.874367248402083	0	4.90757071500223	2.07776102499841	1.10951654352187	0.506099520531234	3.2937615550096	hsa-mir-3646
MIR3648-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3648
MIR3648-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIR3649	0	0	0	0	0	0.544735581644468	0	0	1.36617319698411	0.619468050420522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3649
MIR3650	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3650
MIR3651	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3651
MIR3653	0	0	0	0	0	0	0	0	0	0.371680830252313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.772951994993157	0	NA
MIR3657	0.765949724014489	0	0	0	0	0	0	0	0	0.349443515621833	0.772345743882523	0	0.618986203943876	0	0	0	0	0	0	0	3.54284307878236	0	0	0	0	0.760830229632928	0	0	0	0	0.782637761049177	0	0	0	0	0	0	0	0	0	hsa-mir-3657
MIR3659	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3659
MIR365A	0	0	0	0.800739731050646	0	0	0	0	0	0	0	0.562897817372551	0	0	0.687808348415999	0	0	0	0	0	0	0.34310720103217	0	0	0	0	0.444766270794753	0	0	0	0	0	0	0.992524984672635	0	0	0	0	0	0	hsa-mir-365-1
MIR3660	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3660
MIR3661	0.933501226142659	0.847750276261469	0	0.462927657013655	1.44206227549398	0	0	0	0	0	1.88259275071365	0	0	0	0.795278402855999	1.50777711435585	5.01608023471999	1.65068970702001	0	0.792874139450881	0	0	0	0.534279409666559	4.03259361533002	1.3908927635477	4.6283490054579	0.962336549446684	0.975466943930269	1.20015971917568	0.953839771278685	0.872197147368286	0	0.765071342351823	0	31.8992096475145	0.454510224218402	1.45624046337245	0.885674160929659	0.8234403887524	hsa-mir-3661
MIR3663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3663
MIR3664	0	0	0.889027235751207	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.370943681140278	0	0	0	0	0	0	hsa-mir-3664
MIR3665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.560865224571684	0	0	0	0	hsa-mir-3665
MIR3666	1.61470482359811	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3666
MIR3667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3667
MIR3668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3668
MIR367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-367
MIR3670-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3670
MIR3670-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3670-2
MIR3670-3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIR3670-4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
MIR3671	0	0	0	0	1.57315884599343	0.408551686233351	0	0.946339907761082	2.04925979547617	0.929202075630782	0	0.355009418911097	2.05742573469982	0.44244016767463	0	0	0	0	0	1.29743041001053	0	0.432782946756487	1.09021207036318	0	0	0	0	0	0	0	0	0	0.451043606112827	0	0	0	0	0	0.483094996870723	1.79659721182342	hsa-mir-3671
MIR3672	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3672
MIR3675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3675
MIR3677	0	0	0	0	0	2.99604569904457	0	0	0	0.681414855462574	0	0	0	0	0	0	0	0	0.706781012525997	0	0	0	0	1.70969411093299	0	0	0	0.769869239557347	0	0	0.763071817022948	0	0	0	0	0	0.727216358749443	0	0	0	hsa-mir-3677
MIR3678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3678
MIR3679	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45203106053581	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3679
MIR3680-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.31632287369269	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3680
MIR3680-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3680-2
MIR3681	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3681
MIR3682	0	0.484428729292268	1.04778209927821	0	0.549357057331039	2.14003264217469	0	0	0.536710898815187	2.92034938055389	0	0	0	0.463508747087707	1.363334404896	0.57439128165937	1.63790375011265	1.88650252230858	0.504843580375712	1.35921281048723	0	0.453391658506796	0	1.22121007923785	0	0.529863909922932	0	1.09981319936764	0.557409682245868	0	0.545051297873534	1.4951951097742	0	0.874367248402083	0	0	0	0	0	1.41161209500411	hsa-mir-3682
MIR3683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3683
MIR3684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3684
MIR3685	3.61355313345545	0	0	0	1.48858041341314	1.73963943815491	0	0.671596063572381	0.727156701620575	1.97830119327844	0.728745580921413	0	0.5840434343664	0	0	0	1.10954770168922	1.91692998234582	0	0	0	0	2.32109666593451	0	0	0	0.796275097713187	0	4.53120128793415	0	5.90765277695185	2.02574821324247	0	2.96156648652319	2.55476629840336	0	0	1.50321596219092	0	0.637502236453471	hsa-mir-3685
MIR3686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3686
MIR3687-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
MIR3687-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	NA
MIR3688-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3688|hsa-mir-3688-1
MIR3689A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3689a
MIR3689B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3689b
MIR3689C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3689c
MIR3689D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3689d-1
MIR3689D2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3689d-2
MIR3689E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3689e
MIR3689F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3689f
MIR369	0	0	0	0	0	0	0	0	0	0.584069876110777	0	0.446297555202522	0	0	0	0	0	0	0	0	0	0	0	0	1.38260352525601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-369
MIR3690	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3690|hsa-mir-3690-2
MIR3691	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3691
MIR3692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3692
MIR370	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-370
MIR3713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-3713
MIR371A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-371
MIR372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-372
MIR373	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-373
MIR374A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-374|hsa-mir-374a
MIR374B	0	0.363321546969201	0	0	0	0.642009792652409	0.930962848698652	0	0.40253317411139	0	0	0.278935972001576	0	0	0	0	0	0	0	0.679606405243613	0	0	0	0.457953779714194	0	0	2.20397571688471	0	0	0	0	1.12139633233065	1.41756561921174	0	0	1.05162229607191	0	0.832137407641402	0	0	hsa-mir-374b
MIR375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.861586922489056	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-375
MIR377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.389053768362934	0	0	0	0.440085606385135	0	0	0	0	0	0	0	0	0	0	0.336912150760436	0	0	0	0	0	0	hsa-mir-377
MIR378A	0.400071954061139	1.4532861878768	0	0.396795134583133	0.412017792998279	0	0	0	0.40253317411139	0.365043672569236	1.21023819688735	0.836807916004729	0	0	1.022500803672	0.861586922489056	1.22842781258449	0	0	0.339803202621806	0	0.340043743880097	0	0	0	0.397397932442199	0.440795143376943	0.412429949762865	0.418057261684401	1.02870833072201	0	1.86899388721776	0.354391404802936	0	0	0	1.94790096093601	0	0	1.76451511875514	hsa-mir-378
MIR378B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.349402746005237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-378b
MIR378C	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-378c
MIR378D1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-378d-1
MIR378E	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-378e
MIR378F	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-378f
MIR378G	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	hsa-mir-378g
MIR378H	0	0.490265220006633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.551618180980444	0.504403169562382	0	0	0	2.1285848884347	0	0	0	0	hsa-mir-378h
